Sample_ID,id,species,origin,transplant,RTEtime_months,status.survival,extension_mm,density_g.cm3,tissue.vol_ml,tissue.area_cm2,chla.conc_ug.ml,zoox.conc_cell.ml,prot.conc_mg.ml,zoox.cells.cm2,chla.ug.cm2,chla.ug.cell,chla.10.6.ug.cm2,protein.mg.cm2,zoox.10.6.cells.cm2,Origin_code,Origin_name,Origin_type,treatment_Origin-Dest,Destination_code,Destination_type,Destination_name,pH_Destination,transplant.position,Colony_ID,coral.collection.date_YYYY-MM-DD,RTE.deployment.date_YYYY-MM-DD,sampling.date.RNAlater_year2_YYYY-MM-DD,RNA-seq
NC_291_C_Pa_yr2,291,Porites astreoides,Control,Control,24,0,11.2,,50,,1.67996,130000,,,,1.29228E-05,12.92,,,NC,Norte.Control,control,control_control,C,control,Control.Laja,High,C41,185,13/12/12,17/12/12,15/1/15,Yes
NC_292_La_Pa_yr2,292,Porites astreoides,Control,Ojo,24,0,6.1,,,,,,,,,,,,,NC,Norte.Control,control,control_ojo,La,ojo,Ojo.Laja,Low,L35,185,13/12/12,17/12/12,15/1/15,Yes
NC_293_N_Pa_yr2,293,,,,,,,,,,,,,,,,,,,NC,Norte.Control,control,control_ojo,N,ojo,Ojo.Norte,Low,N14,185,13/12/12,18/12/12,14/1/15,Yes
NC_294_C_Pa_yr2,294,Porites astreoides,Control,Control,24,0,11.8,1.605203412,7,6.5002,8.833,1683333,1.036,1812764.376,9.51,5.24733E-06,5.25,1.12,1.81,NC,Norte.Control,control,control_control,C,control,Control.Laja,High,C45,281,13/12/12,17/12/12,15/1/15,Yes
NC_295_La_Pa_yr2,295,Porites astreoides,Control,Ojo,24,0,7.7,1.078078699,35,10.9053333,122.31112,14833333,1.68,47606674.71,392.55,8.24569E-06,8.25,5.39,47.61,NC,Norte.Control,control,control_ojo,La,ojo,Ojo.Laja,Low,L24,281,13/12/12,17/12/12,15/1/15,Yes
NC_297_C_Pa_yr2,297,Porites astreoides,Control,Control,24,0,6.3,1.540923077,38,12.597044,,,0.618,,,,,1.86,,NC,Norte.Control,control,control_control,C,control,Control.Laja,High,C12,341,13/12/12,17/12/12,15/1/15,Yes
NC_298_La_Pa_yr2,298,Porites astreoides,Control,Ojo,24,0,17,,20,5.57046068,80.94644,9666667,0.682,34706885.32,290.63,8.37377E-06,8.37,2.45,34.71,NC,Norte.Control,control,control_ojo,La,ojo,Ojo.Laja,Low,L30,341,13/12/12,17/12/12,15/1/15,Yes
NC_300_C_Pa_yr2,300,Porites astreoides,Control,Control,24,0,6.6,1.545665011,18,4.5728089,12.82404,2816667,0.287,11087278.54,50.48,4.55291E-06,4.55,1.13,11.09,NC,Norte.Control,control,control_control,C,control,Control.Laja,High,C2,83,13/12/12,17/12/12,15/1/15,Yes
NC_311_La_Pa_yr2,311,Porites astreoides,Control,Ojo,22,1,,,,,,,,,,,,,,NC,Norte.Control,control,control_ojo,La,ojo,Ojo.Laja,Low,L14,83,13/12/12,17/12/12,15/1/15,Yes
NC_312_N_Pa_yr2,312,,,,,,,,,,,,,,,,,,,NC,Norte.Control,control,control_ojo,N,ojo,Ojo.Norte,Low,N13,83,13/12/12,18/12/12,14/1/15,Yes
NC_313_C_Pa_yr2,313,Porites astreoides,Control,Control,24,0,5.9,1.623551106,15,7.50266865,22.51916,3566667,0.354,7130796.72,45.02,6.31378E-06,6.31,0.71,7.13,NC,Norte.Control,control,control_control,C,control,Control.Laja,High,C42,81,13/12/12,17/12/12,15/1/15,Yes
NC_314_La_Pa_yr2,314,Porites astreoides,Control,Ojo,24,0,7.8,1.06652182,25,5.7430454,115.14528,10633333,1.264,46287867.58,501.24,1.08287E-05,10.83,5.50,46.29,NC,Norte.Control,control,control_ojo,La,ojo,Ojo.Laja,Low,L17,81,13/12/12,17/12/12,15/1/15,Yes
NC_316_C_Pa_yr2,316,Porites astreoides,Control,Control,24,0,6.3,,26,,3.08144,2312500,0.202,,,1.33251E-06,1.33,,,NC,Norte.Control,control,control_control,C,control,Control.Laja,High,C8,308,13/12/12,17/12/12,15/1/15,Yes
NC_317_La_Pa_yr2,317,Porites astreoides,Control,Ojo,24,0,10.8,1.073974566,7,7.368654,27.72868,4666667,0.3,4433193.498,26.34,5.94186E-06,5.94,0.28,4.43,NC,Norte.Control,control,control_ojo,La,ojo,Ojo.Laja,Low,L21,308,13/12/12,17/12/12,15/1/15,Yes
NC_318_N_Pa_yr2,318,,,,,,,,,,,,,,,,,,,NC,Norte.Control,control,control_ojo,N,ojo,Ojo.Norte,Low,N59,308,13/12/12,18/12/12,14/1/15,Yes
NC_319_C_Pa_yr2,319,Porites astreoides,Control,Control,24,0,6.7,1.472294372,16,10.4521864,15.01296,4662500,1.078,7137262.688,22.98,3.21994E-06,3.22,1.65,7.14,NC,Norte.Control,control,control_control,C,control,Control.Laja,High,C44,105,13/12/12,17/12/12,15/1/15,Yes
NC_320_La_Pa_yr2,320,Porites astreoides,Control,Ojo,22,1,,,,,,,,,,,,,,NC,Norte.Control,control,control_ojo,La,ojo,Ojo.Laja,Low,L5,105,13/12/12,17/12/12,15/1/15,Yes
NC_322_C_Pa_yr2,322,Porites astreoides,Control,Control,24,0,9.3,1.698175367,15,5.767732,9.19204,2216667,0.216,5764831.826,23.91,4.14678E-06,4.15,0.56,5.76,NC,Norte.Control,control,control_control,C,control,Control.Laja,High,C30,38,13/12/12,17/12/12,15/1/15,Yes
NC_325_C_Pa_yr2,325,Porites astreoides,Control,Control,24,0,9.4,1.735373282,36,9.5646316,53.85636,9266667,0.604,34878500.91,202.71,5.81184E-06,5.81,2.27,34.88,NC,Norte.Control,control,control_control,C,control,Control.Laja,High,C57,670,13/12/12,17/12/12,15/1/15,Yes
NC_326_La_Pa_yr2,326,Porites astreoides,Control,Ojo,24,0,5.1,1.210605908,17,10.6769689,75.10632,9225000,1.041,14688157.42,119.59,8.14161E-06,8.14,1.66,14.69,NC,Norte.Control,control,control_ojo,La,ojo,Ojo.Laja,Low,L59,670,13/12/12,17/12/12,15/1/15,Yes
NC_327_N_Pa_yr2,327,,,,,,,,,,,,,,,,,,,NC,Norte.Control,control,control_ojo,N,ojo,Ojo.Norte,Low,N49,670,13/12/12,18/12/12,14/1/15,Yes
NO_261_C_Pa_yr2,261,Porites astreoides,Ojo,Control,24,0,7.5,1.615812815,14,7.8499798,25.51632,4633333,0.818,8263290.308,45.51,5.50712E-06,5.51,1.46,8.26,NO,Norte.Ojo,ojo,ojo_control,C,control,Control.Laja,High,C58,440,12/12/12,17/12/12,15/1/15,Yes
NO_264_C_Pa_yr2,264,Porites astreoides,Ojo,Control,24,0,8,,25,,25.29436,6000000,,,,4.21573E-06,4.22,,,NO,Norte.Ojo,ojo,ojo_control,C,control,Control.Laja,High,C7,692,12/12/12,17/12/12,15/1/15,Yes
NO_265_La_Pa_yr2,265,Porites astreoides,Ojo,Ojo,22,1,,,,,,,,,,,,,,NO,Norte.Ojo,ojo,ojo_ojo,La,ojo,Ojo.Laja,Low,L25,692,12/12/12,17/12/12,15/1/15,Yes
NO_266_N_Pa_yr2,266,,,,,,,,,,,,,,,,,,,NO,Norte.Ojo,ojo,ojo_ojo,N,ojo,Ojo.Norte,Low,N45,692,12/12/12,18/12/12,14/1/15,Yes
NO_267_C_Pa_yr2,267,Porites astreoides,Ojo,Control,24,0,8.5,1.496322901,62,37.4582,,4300000,,7117266.713,,,,,7.12,NO,Norte.Ojo,ojo,ojo_control,C,control,Control.Laja,High,C56,264,12/12/12,17/12/12,15/1/15,Yes
NO_268_La_Pa_yr2,268,Porites astreoides,Ojo,Ojo,24,0,14.1,1.06627152,7,2.9439732,27.97088,3066667,0.261,7291733.838,66.51,9.12094E-06,9.12,0.62,7.29,NO,Norte.Ojo,ojo,ojo_ojo,La,ojo,Ojo.Laja,Low,L51,264,12/12/12,17/12/12,15/1/15,Yes
NO_270_C_Pa_yr2,270,Porites astreoides,Ojo,Control,24,0,9.1,1.692417062,23,12.062934,18.45076,5200000,0.689,9914669.184,35.18,3.54822E-06,3.55,1.31,9.91,NO,Norte.Ojo,ojo,ojo_control,C,control,Control.Laja,High,C54,230,12/12/12,17/12/12,15/1/15,Yes
NO_271_La_Pa_yr2,271,Porites astreoides,Ojo,Ojo,24,0,13.6,1.287319523,23,7.3011019,45.18876,7437500,0.395,23429682.58,142.35,6.0758E-06,6.08,1.24,23.43,NO,Norte.Ojo,ojo,ojo_ojo,La,ojo,Ojo.Laja,Low,L43,230,12/12/12,17/12/12,15/1/15,Yes
NO_272_N_Pa_yr2,272,,,,,,,,,,,,,,,,,,,NO,Norte.Ojo,ojo,ojo_ojo,N,ojo,Ojo.Norte,Low,N15,230,12/12/12,18/12/12,14/1/15,Yes
NO_274_La_Pa_yr2,274,Porites astreoides,Ojo,Ojo,24,1,,,,,,,,,,,,,,NO,Norte.Ojo,ojo,ojo_ojo,La,ojo,Ojo.Laja,Low,L44,550,12/12/12,17/12/12,15/1/15,Yes
NO_275_N_Pa_yr2,275,,,,,,,,,,,,,,,,,,,NO,Norte.Ojo,ojo,ojo_ojo,N,ojo,Ojo.Norte,Low,N48,550,12/12/12,18/12/12,14/1/15,Yes
NO_276_C_Pa_yr2,276,Porites astreoides,Ojo,Control,24,0,8.4,1.578691906,25,6.7694,28.22164,4600000,0.458,16988211.66,104.23,6.13514E-06,6.14,1.69,16.99,NO,Norte.Ojo,ojo,ojo_control,C,control,Control.Laja,High,C59,683,12/12/12,17/12/12,15/1/15,Yes
NO_277_La_Pa_yr2,277,Porites astreoides,Ojo,Ojo,24,0,9.5,1.027359175,30,8.1400554,131.90652,20833333,1.209,76780802.99,486.14,6.33151E-06,6.33,4.46,76.78,NO,Norte.Ojo,ojo,ojo_ojo,La,ojo,Ojo.Laja,Low,L27,683,12/12/12,17/12/12,15/1/15,Yes
NO_278_N_Pa_yr2,278,,,,,,,,,,,,,,,,,,,NO,Norte.Ojo,ojo,ojo_ojo,N,ojo,Ojo.Norte,Low,N44,683,12/12/12,18/12/12,14/1/15,Yes
NO_279_C_Pa_yr2,279,Porites astreoides,Ojo,Control,24,0,8.6,1.553914411,7.5,6.1475065,9.35956,2450000,0.166,2989016.766,11.42,3.82023E-06,3.82,0.20,2.99,NO,Norte.Ojo,ojo,ojo_control,C,control,Control.Laja,High,C16,570,12/12/12,17/12/12,15/1/15,Yes
NO_280_La_Pa_yr2,280,Porites astreoides,Ojo,Ojo,24,1,,,,,,,,,,,0.00,,,NO,Norte.Ojo,ojo,ojo_ojo,La,ojo,Ojo.Laja,Low,L6,570,12/12/12,17/12/12,15/1/15,Yes
NO_282_C_Pa_yr2,282,Porites astreoides,Ojo,Control,24,0,6.3,1.609842417,17,17.8302814,39.04828,8500000,0.861,8104190.661,37.23,4.59392E-06,4.59,0.82,8.10,NO,Norte.Ojo,ojo,ojo_control,C,control,Control.Laja,High,C39,674,12/12/12,17/12/12,15/1/15,Yes
NO_288_C_Pa_yr2,288,Porites astreoides,Ojo,Control,24,0,6.1,1.523545706,26,10.2265608,23.94464,7583333.333,0.547,19279860.6,60.88,3.15753E-06,3.16,1.39,19.28,NO,Norte.Ojo,ojo,ojo_control,C,control,Control.Laja,High,C47,463,12/12/12,17/12/12,15/1/15,Yes
NO_289_La_Pa_yr2,289,Porites astreoides,Ojo,Ojo,24,0,17,1.138771899,10,3.6516672,42.2156,4300000,0.203,11775443.28,115.61,9.81758E-06,9.82,0.56,11.78,NO,Norte.Ojo,ojo,ojo_ojo,La,ojo,Ojo.Laja,Low,L53,463,12/12/12,17/12/12,15/1/15,Yes
PC_349_C_Sid_yr2,349,Siderastrea,Control,Control,24,0,4.4,1.665429309,6,1.8768662,,1800000,1.145,5754272.734,,,,3.66,5.75,PC,Pargos.Control,Control,control_control,C,control,Control.Laja,High,C10,650,14/12/12,17/12/12,15/1/15,Yes
PC_350_La_Sid_yr2,350,Siderastrea,Control,Ojo,24,0,5.3,1.344448882,10,11.3458,64.58588,13000000,2.129,11457984.45,56.92,4.96814E-06,4.97,1.88,11.46,PC,Pargos.Control,Control,control_ojo,La,ojo,Ojo.Laja,Low,L31,650,14/12/12,17/12/12,15/1/15,Yes
PC_361_N_Sid_yr2,361,,,,,,,,,,,,,,,,0.00,,,PC,Pargos.Control,Control,control_ojo,N,ojo,Ojo.Norte,Low,N7,650,14/12/12,18/12/12,14/1/15,Yes
