Sample_ID,Year_transplant,Origin_code,Origin_name,Origin_type,treatment_Origin-Dest,Destination_code,Destination_type,Destination_name,pH_Destination,RNA-seq,id,species,origin,transplant.saturation,transplant,transplant.position,Colony_ID,coral.collection.date_YYYY-MM-DD,RTE.deployment.date_YYYY-MM-DD,sampling.date.RNAlater_year2_YYYY-MM-DD
PC_349_C_Sid_yr2,Year2,PC,Pargos.Control,Control,control_control,C,control,Control.Laja,High,Yes,349,Siderastrea ,Pargos Control,high,Control,C10,650,14/12/12,17/12/12,15/1/15
PC_350_La_Sid_yr2,Year2,PC,Pargos.Control,Control,control_ojo,La,ojo,Ojo.Laja,Low,Yes,350,Siderastrea ,Pargos Control,low,Laja,L31,650,14/12/12,17/12/12,15/1/15
PC_361_N_Sid_yr2,Year2,PC,Pargos.Control,Control,control_ojo,N,ojo,Ojo.Norte,Low,Yes,361,Siderastrea ,Pargos Control,low,Norte,N7,650,14/12/12,18/12/12,14/1/15
PC_362_C_Sid_yr2,Year2,PC,Pargos.Control,Control,control_control,C,control,Control.Laja,High,Yes,362,Siderastrea ,Pargos Control,high,Control,C43,702,14/12/12,17/12/12,15/1/15
PC_363_La_Sid_yr2,Year2,PC,Pargos.Control,Control,control_ojo,La,ojo,Ojo.Laja,Low,Yes,363,Siderastrea ,Pargos Control,low,Laja,L46,702,14/12/12,17/12/12,15/1/15
PC_364_N_Sid_yr2,Year2,PC,Pargos.Control,Control,control_ojo,N,ojo,Ojo.Norte,Low,Yes,364,Siderastrea ,Pargos Control,low,Norte,N43,702,14/12/12,18/12/12,14/1/15
PC_365_C_Sid_yr2,Year2,PC,Pargos.Control,Control,control_control,C,control,Control.Laja,High,Yes,365,Siderastrea ,Pargos Control,high,Control,C1,55,14/12/12,17/12/12,15/1/15
PC_366_La_Sid_yr2,Year2,PC,Pargos.Control,Control,control_ojo,La,ojo,Ojo.Laja,Low,Yes,366,Siderastrea ,Pargos Control,low,Laja,L9,55,14/12/12,17/12/12,15/1/15
PC_368_C_Sid_yr2,Year2,PC,Pargos.Control,Control,control_control,C,control,Control.Laja,High,Yes,368,Siderastrea ,Pargos Control,high,Control,C17,549,14/12/12,17/12/12,15/1/15
PC_370_N_Sid_yr2,Year2,PC,Pargos.Control,Control,control_ojo,N,ojo,Ojo.Norte,Low,Yes,370,Siderastrea ,Pargos Control,low,Norte,N10,549,14/12/12,18/12/12,14/1/15
