"","DEG","up.results_LC_RC_padj.1","down.results_LC_RC_padj.1"
"1","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00025"
"2","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00154"
"3","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00162"
"4","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00176"
"5","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00234"
"6","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00274"
"7","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00281"
"8","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00300"
"9","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00354"
"10","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00406"
"11","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00438"
"12","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00457"
"13","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00627"
"14","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00714"
"15","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00758"
"16","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00815"
"17","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00886"
"18","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00887"
"19","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00891"
"20","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00893"
"21","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00980"
"22","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01077"
"23","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01135"
"24","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01145"
"25","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01203"
"26","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01333"
"27","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01351"
"28","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01359"
"29","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01433"
"30","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01477"
"31","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01546"
"32","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01634"
"33","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01647"
"34","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01686"
"35","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01787"
"36","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01833"
"37","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01870"
"38","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01878"
"39","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01893"
"40","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01896"
"41","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02001"
"42","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02013"
"43","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02069"
"44","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02073"
"45","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02087"
"46","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02113"
"47","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02185"
"48","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02206"
"49","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02214"
"50","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02371"
"51","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02372"
"52","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02485"
"53","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02518"
"54","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02537"
"55","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02557"
"56","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02558"
"57","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02641"
"58","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02655"
"59","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02656"
"60","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02688"
"61","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02739"
"62","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02827"
"63","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02835"
"64","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02840"
"65","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02878"
"66","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02925"
"67","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03013"
"68","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03088"
"69","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03146"
"70","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03157"
"71","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03190"
"72","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03263"
"73","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03320"
"74","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03371"
"75","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03396"
"76","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03397"
"77","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03399"
"78","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03459"
"79","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03461"
"80","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03487"
"81","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03563"
"82","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03582"
"83","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03604"
"84","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03659"
"85","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03856"
"86","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03915"
"87","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03972"
"88","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04029"
"89","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04134"
"90","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04159"
"91","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04168"
"92","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04192"
"93","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04198"
"94","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04257"
"95","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04290"
"96","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04351"
"97","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04389"
"98","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04406"
"99","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04408"
"100","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04439"
"101","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04507"
"102","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04563"
"103","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04595"
"104","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04624"
"105","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04630"
"106","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04660"
"107","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04678"
"108","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04706"
"109","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04742"
"110","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04756"
"111","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04769"
"112","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04772"
"113","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04853"
"114","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04898"
"115","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04975"
"116","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05002"
"117","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05052"
"118","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05074"
"119","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05077"
"120","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05092"
"121","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05141"
"122","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05152"
"123","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05371"
"124","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05464"
"125","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05532"
"126","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05550"
"127","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05653"
"128","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05722"
"129","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05813"
"130","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05835"
"131","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05840"
"132","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05906"
"133","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06030"
"134","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06070"
"135","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06081"
"136","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06108"
"137","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06282"
"138","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06346"
"139","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06358"
"140","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06417"
"141","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06601"
"142","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06624"
"143","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06631"
"144","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06636"
"145","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06723"
"146","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06751"
"147","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06800"
"148","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06808"
"149","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06820"
"150","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06843"
"151","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06900"
"152","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06958"
"153","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07124"
"154","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07125"
"155","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07151"
"156","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07230"
"157","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07249"
"158","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07260"
"159","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07304"
"160","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07493"
"161","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07510"
"162","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07536"
"163","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07541"
"164","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07548"
"165","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07549"
"166","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07614"
"167","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07660"
"168","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07675"
"169","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07955"
"170","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07957"
"171","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08002"
"172","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08004"
"173","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08074"
"174","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08082"
"175","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08163"
"176","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08165"
"177","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08170"
"178","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08185"
"179","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08190"
"180","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08197"
"181","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08268"
"182","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08277"
"183","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08297"
"184","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08331"
"185","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08343"
"186","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08351"
"187","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08362"
"188","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08384"
