"","DEG","up.results_LO_RO_padj.1","down.results_LO_RO_padj.1"
"1","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00136"
"2","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00139"
"3","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00154"
"4","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00162"
"5","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00225"
"6","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00234"
"7","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00274"
"8","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00406"
"9","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00438"
"10","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00457"
"11","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00489"
"12","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00535"
"13","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00670"
"14","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00733"
"15","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00762"
"16","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00887"
"17","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00980"
"18","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00991"
"19","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01097"
"20","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01137"
"21","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01144"
"22","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01198"
"23","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01299"
"24","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01308"
"25","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01333"
"26","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01351"
"27","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01359"
"28","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01406"
"29","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01477"
"30","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01618"
"31","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01644"
"32","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01647"
