"","DEG","up.results_OC_RC_padj.1","down.results_OC_RC_padj.1"
"1","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00025"
"2","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00147"
"3","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00154"
"4","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00182"
"5","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00222"
"6","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00234"
"7","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00241"
"8","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00274"
"9","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00294"
"10","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00300"
"11","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00322"
"12","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00328"
"13","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00348"
"14","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00384"
"15","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00417"
"16","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00438"
"17","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00457"
"18","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00489"
"19","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00627"
"20","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00702"
"21","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00714"
"22","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00742"
"23","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00811"
"24","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00887"
"25","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00891"
"26","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00893"
"27","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00980"
"28","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01077"
"29","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01117"
"30","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01135"
"31","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01144"
"32","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01145"
"33","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01333"
"34","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01359"
"35","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01477"
"36","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01578"
