"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Siderastrea_Mexico_Barshis-Radice_Host_contig15511",58.5272459343933,-2.54895496534967,0.375525451335662,-6.78770228830987,1.13933448771302e-11,4.55505928187667e-08
"2","Siderastrea_Mexico_Barshis-Radice_Host_contig18560",26.6868163776603,-3.71431913509759,0.544826928426974,-6.81742942813341,9.26839074125687e-12,4.55505928187667e-08
"3","Siderastrea_Mexico_Barshis-Radice_Host_contig08197",30.0840219885886,-5.42334463262356,0.815472402556564,-6.65055569706712,2.91988477925811e-11,7.78246623164929e-08
"4","Siderastrea_Mexico_Barshis-Radice_Host_contig10548",26.3306609712985,2.63641010047136,0.414158431186014,6.36570428596985,1.9439564645146e-10,3.88596897256468e-07
"5","Siderastrea_Mexico_Barshis-Radice_Host_contig03604",183.516565017132,-2.18484121327168,0.345195755512985,-6.32928180135023,2.46304922686479e-10,3.93890832360217e-07
"6","Siderastrea_Mexico_Barshis-Radice_Host_contig12108",11.7749293049257,-4.62189632985597,0.783046295819529,-5.90245602914031,3.58129586323025e-09,4.15584465215968e-06
"7","Siderastrea_Mexico_Barshis-Radice_Host_contig12485",29.4472766611599,-3.86782588418545,0.655579677260051,-5.89985629260314,3.63818316222083e-09,4.15584465215968e-06
"8","Siderastrea_Mexico_Barshis-Radice_Host_contig07425",7.13696543729485,4.25735234935908,0.741138133048466,5.74434394820253,9.22780509257278e-09,9.22319119002649e-06
"9","Siderastrea_Mexico_Barshis-Radice_Host_contig02545",5.70256768544788,4.66798922066176,0.823611701887453,5.66770628679052,1.44721767380741e-08,1.15719525197641e-05
"10","Siderastrea_Mexico_Barshis-Radice_Host_contig14109",49.126184868739,-1.84192419554974,0.324435852186157,-5.67731396865743,1.36826199249179e-08,1.15719525197641e-05
"11","Siderastrea_Mexico_Barshis-Radice_Host_contig14113",7.16817041725444,3.83736533627278,0.687260475492092,5.58356761826751,2.35634102479621e-08,1.71284571220641e-05
"12","Siderastrea_Mexico_Barshis-Radice_Host_contig02073",19.0659834587281,-2.78666725563129,0.50646982148869,-5.50213879958398,3.75211371435105e-08,1.87511882874694e-05
"13","Siderastrea_Mexico_Barshis-Radice_Host_contig06240",8.41179477740833,4.36961412774562,0.793070377167472,5.50974321264163,3.59357551220515e-08,1.87511882874694e-05
"14","Siderastrea_Mexico_Barshis-Radice_Host_contig17491",33.7245790122435,1.82633308176548,0.331914558339669,5.50241933014724,3.74614650463775e-08,1.87511882874694e-05
"15","Siderastrea_Mexico_Barshis-Radice_Host_contig18341",39.1641285973832,4.69265965140015,0.852699661316173,5.50329719160068,3.72753277769491e-08,1.87511882874694e-05
"16","Siderastrea_Mexico_Barshis-Radice_Host_contig19050",42.9545270261219,1.9497367807201,0.351799106428354,5.54218798482701,2.98715363894765e-08,1.87511882874694e-05
"17","Siderastrea_Mexico_Barshis-Radice_Host_contig04159",4517.92166307693,-2.84400805066795,0.518617399442547,-5.48382690924934,4.16222035521868e-08,1.95771258590168e-05
"18","Siderastrea_Mexico_Barshis-Radice_Host_contig14725",46.2351087135558,-2.59182042033742,0.474480355499248,-5.46243988881332,4.69634582600012e-08,2.08622117914983e-05
"19","Siderastrea_Mexico_Barshis-Radice_Host_contig01896",24.4283764264399,-7.37104456316986,1.37064910877408,-5.3777764972704,7.54113484070821e-08,3.06829613216173e-05
"20","Siderastrea_Mexico_Barshis-Radice_Host_contig09664",225.548897971616,-3.30855655783323,0.615589307950513,-5.37461667235325,7.67457761921393e-08,3.06829613216173e-05
"21","Siderastrea_Mexico_Barshis-Radice_Host_contig11093",15.3201214890982,-3.35152721714904,0.627222432697032,-5.34344284010635,9.11975963976393e-08,3.47245705140726e-05
"22","Siderastrea_Mexico_Barshis-Radice_Host_contig12218",7.68434602323161,4.28493957931283,0.803831562570303,5.33064360599559,9.78653095822644e-08,3.47664900894665e-05
"23","Siderastrea_Mexico_Barshis-Radice_Host_contig12805",11.5304145113881,-4.09778541213417,0.769289082184073,-5.32671723417708,1.00003660837635e-07,3.47664900894665e-05
"24","Siderastrea_Mexico_Barshis-Radice_Host_contig18493",19.9212489203546,-3.28103174907128,0.620670525004978,-5.28626963403,1.24835849345617e-07,4.15911438069815e-05
"25","Siderastrea_Mexico_Barshis-Radice_Host_contig07250",39.7557824093736,2.16526977447851,0.41054828029138,5.27409291044101,1.33414308904605e-07,4.26712325600487e-05
"26","Siderastrea_Mexico_Barshis-Radice_Host_contig06723",37.150059196472,-7.80334211794632,1.51031357587477,-5.16670328771071,2.38259040193174e-07,7.32738186686393e-05
"27","Siderastrea_Mexico_Barshis-Radice_Host_contig10346",8.78587513616785,-4.02853970323081,0.784489154002918,-5.13523951564514,2.81784920626407e-07,8.15083997069596e-05
"28","Siderastrea_Mexico_Barshis-Radice_Host_contig10896",14.6251657307782,2.72002356307729,0.529926981386941,5.13282708489075,2.85422110029373e-07,8.15083997069596e-05
"29","Siderastrea_Mexico_Barshis-Radice_Host_contig07249",131.098479613405,-2.06497011214667,0.403555700921036,-5.11693951400956,3.10533149839438e-07,8.56214850384879e-05
"30","Siderastrea_Mexico_Barshis-Radice_Host_contig15430",7.62130646873051,-4.52392005907222,0.889404075715031,-5.08646202844893,3.64804716952222e-07,9.72326172249989e-05
"31","Siderastrea_Mexico_Barshis-Radice_Host_contig08082",67.1167989651082,-3.02603102125994,0.596422134041847,-5.07363970675111,3.90277696477465e-07,0.000100666466484962
"32","Siderastrea_Mexico_Barshis-Radice_Host_contig02835",21.8268231152938,-2.9463993379484,0.58169711466666,-5.06517784540986,4.0801924723326e-07,0.000101953809402411
"33","Siderastrea_Mexico_Barshis-Radice_Host_contig02206",26.9252805999016,-3.20763901673107,0.635522197253237,-5.04724938105178,4.48216142690161e-07,0.000107451908636199
"34","Siderastrea_Mexico_Barshis-Radice_Host_contig03157",79.547173402373,-2.82050301768458,0.561099264304442,-5.02674517169609,4.9887456522062e-07,0.000107451908636199
"35","Siderastrea_Mexico_Barshis-Radice_Host_contig11650",3.19281369236656,-5.35543405619233,1.06195610836766,-5.04299002001525,4.58313163906303e-07,0.000107451908636199
"36","Siderastrea_Mexico_Barshis-Radice_Host_contig12586",13.5971450389374,2.73459501133812,0.545035698438192,5.01727688511806,5.24090099651295e-07,0.000107451908636199
"37","Siderastrea_Mexico_Barshis-Radice_Host_contig15330",49.3052645193843,-2.74476667414801,0.545899863531065,-5.02796732058867,4.95706325945348e-07,0.000107451908636199
"38","Siderastrea_Mexico_Barshis-Radice_Host_contig18209",90.8644850525147,-2.3939454651362,0.476703143645006,-5.02187891363883,5.1168439273307e-07,0.000107451908636199
"39","Siderastrea_Mexico_Barshis-Radice_Host_contig18328",15.8936718288377,-2.91896644302735,0.580636470235957,-5.02718412062741,4.97734414549811e-07,0.000107451908636199
"40","Siderastrea_Mexico_Barshis-Radice_Host_contig09382",27.8882068053501,2.10847942015911,0.422974834539291,4.98488148226522,6.19998050629414e-07,0.00012393761032082
"41","Siderastrea_Mexico_Barshis-Radice_Host_contig01006",5.29934763613092,4.04803011031145,0.818047769280517,4.94840309126658,7.4824827930883e-07,0.000145926664423254
"42","Siderastrea_Mexico_Barshis-Radice_Host_contig08074",38.7760941460563,-1.97454777367982,0.399993624281645,-4.93644811770673,7.95581892162669e-07,0.000149219695017362
"43","Siderastrea_Mexico_Barshis-Radice_Host_contig15614",6.94580240593535,-5.13117649335903,1.03980076331908,-4.93476892340426,8.02457089262952e-07,0.000149219695017362
"44","Siderastrea_Mexico_Barshis-Radice_Host_contig03190",11.2829045109766,-3.05999971093609,0.623911550015607,-4.904540893432,9.36461113110578e-07,0.000170180524100731
