"","DEG","up.results_OO_RC_padj.1","down.results_OO_RC_padj.1"
"1","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00025"
"2","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00091"
"3","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00147"
"4","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00154"
"5","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00184"
"6","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00249"
"7","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00274"
"8","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00289"
"9","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00294"
"10","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00300"
"11","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00323"
"12","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00328"
"13","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00348"
"14","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00417"
"15","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00438"
"16","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00457"
"17","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00489"
"18","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00536"
"19","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00627"
"20","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00676"
"21","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00682"
"22","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00714"
"23","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00727"
"24","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00861"
"25","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00887"
"26","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00891"
"27","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00893"
"28","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00972"
"29","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00980"
"30","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01031"
"31","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01084"
"32","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01103"
"33","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01117"
"34","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01135"
"35","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01144"
"36","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01164"
"37","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01277"
"38","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01284"
"39","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01326"
"40","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01333"
"41","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01359"
"42","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01411"
"43","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01448"
"44","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01477"
"45","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01500"
"46","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01546"
"47","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01634"
"48","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01647"
"49","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01686"
"50","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01705"
"51","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01741"
"52","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01787"
"53","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01832"
"54","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01842"
"55","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01857"
"56","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01878"
"57","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01893"
"58","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01896"
"59","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01976"
"60","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02013"
"61","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02027"
"62","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02069"
"63","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02073"
"64","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02087"
"65","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02116"
"66","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02175"
"67","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02196"
"68","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02206"
"69","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02214"
"70","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02298"
"71","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02336"
"72","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02371"
"73","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02372"
"74","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02402"
"75","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02403"
"76","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02449"
"77","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02450"
"78","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02455"
"79","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02485"
"80","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02502"
"81","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02518"
"82","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02558"
"83","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02643"
"84","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02655"
"85","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02659"
