"","DEG","up.results_OO_RO_padj.1","down.results_OO_RO_padj.1"
"1","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00136"
"2","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00139"
"3","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00184"
"4","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00225"
"5","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00234"
"6","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00249"
"7","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00274"
"8","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00284"
"9","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00289"
"10","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00294"
"11","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00328"
"12","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00410"
"13","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00438"
"14","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00457"
"15","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00489"
"16","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00604"
"17","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00627"
"18","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00639"
"19","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00810"
"20","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00811"
"21","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00887"
"22","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00964"
"23","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00980"
"24","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01057"
"25","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01072"
"26","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01097"
"27","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01117"
"28","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01137"
"29","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01144"
"30","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01198"
"31","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01309"
"32","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01333"
