"","DEG","up.results_RO_RC_padj.1","down.results_RO_RC_padj.1"
"1","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00073"
"2","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00124"
"3","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00148"
"4","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00176"
"5","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00280"
"6","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00466"
"7","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00536"
"8","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00667"
"9","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00671"
"10","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00702"
"11","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00715"
"12","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00742"
"13","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00782"
"14","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00804"
"15","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00822"
"16","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00838"
"17","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00891"
"18","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00917"
"19","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00972"
"20","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig00987"
"21","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01054"
"22","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01069"
"23","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01152"
"24","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01164"
"25","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01266"
"26","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01326"
"27","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01448"
"28","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01462"
"29","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01533"
"30","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01536"
"31","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01731"
"32","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01763"
"33","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01842"
"34","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig01938"
"35","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02147"
"36","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02348"
"37","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02402"
"38","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02427"
"39","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02449"
"40","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02464"
"41","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02472"
"42","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02604"
"43","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02748"
"44","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02760"
"45","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02826"
"46","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03107"
"47","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03254"
"48","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03320"
"49","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03396"
"50","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03479"
"51","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03543"
"52","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03680"
"53","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03708"
"54","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03845"
"55","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03972"
"56","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03995"
"57","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04045"
"58","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04169"
"59","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04206"
"60","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04244"
"61","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04293"
"62","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04308"
"63","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04311"
"64","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04361"
"65","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04366"
"66","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04403"
"67","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04408"
"68","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04630"
"69","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04708"
"70","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04756"
"71","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04826"
"72","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04871"
"73","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04882"
"74","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04898"
"75","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04975"
"76","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05018"
"77","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05109"
"78","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05141"
"79","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05154"
"80","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05217"
"81","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05390"
"82","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05452"
"83","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05540"
"84","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05555"
"85","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05580"
"86","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05599"
"87","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05601"
"88","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05635"
"89","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05670"
"90","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05736"
"91","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06010"
"92","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06036"
