"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Siderastrea_Mexico_Barshis-Radice_Host_contig15511",58.5272459343933,-2.68433867641025,0.368119024464277,-7.29204006860759,3.05296328157814e-13,2.44114943994988e-09
"2","Siderastrea_Mexico_Barshis-Radice_Host_contig04290",40.485318584419,-2.76245583429512,0.435686724327185,-6.3404636406149,2.29074732180094e-10,7.06876451657678e-07
"3","Siderastrea_Mexico_Barshis-Radice_Host_contig14109",49.126184868739,-2.00600902422803,0.317514038223715,-6.31785931560805,2.65211275009134e-10,7.06876451657678e-07
"4","Siderastrea_Mexico_Barshis-Radice_Host_contig09664",225.548897971616,-3.80606484730347,0.614835960445133,-6.19037449362579,6.00214421153255e-10,1.19982862788536e-06
"5","Siderastrea_Mexico_Barshis-Radice_Host_contig04159",4517.92166307693,-3.15992070251108,0.518537831588162,-6.09390580593314,1.10188512139056e-09,1.76213468612778e-06
"6","Siderastrea_Mexico_Barshis-Radice_Host_contig18560",26.6868163776603,-2.9993938038625,0.497429693261748,-6.02978439866518,1.6417855844782e-09,2.18795292224795e-06
"7","Siderastrea_Mexico_Barshis-Radice_Host_contig10590",164.509660472692,-5.11125347894908,0.886692391021113,-5.76440435342291,8.19467343170535e-09,9.24676489178756e-06
"8","Siderastrea_Mexico_Barshis-Radice_Host_contig12805",11.5304145113881,-4.32378964330045,0.752760432084174,-5.7439119526104,9.2513905870811e-09,9.24676489178756e-06
"9","Siderastrea_Mexico_Barshis-Radice_Host_contig01845",16.1332796068898,2.51157570298995,0.451374134491866,5.56428805079263,2.63224837801831e-08,2.26914845739783e-05
"10","Siderastrea_Mexico_Barshis-Radice_Host_contig05840",175.715893727939,-3.04038368271517,0.547770701587091,-5.5504678762593,2.84906062054741e-08,2.26914845739783e-05
"11","Siderastrea_Mexico_Barshis-Radice_Host_contig11093",15.3201214890982,-3.32726410510187,0.60118887437033,-5.53447385164398,3.12163994889646e-08,2.26914845739783e-05
"12","Siderastrea_Mexico_Barshis-Radice_Host_contig14545",442.775576083056,-2.75327828868966,0.502961056362665,-5.47413811439186,4.39646083033108e-08,2.8939994963714e-05
"13","Siderastrea_Mexico_Barshis-Radice_Host_contig17985",32.6445914251336,-2.65243359968068,0.485606099127761,-5.46210931955951,4.70510173246975e-08,2.8939994963714e-05
"14","Siderastrea_Mexico_Barshis-Radice_Host_contig02073",19.0659834587281,-2.52204115090103,0.4716820359293,-5.34690948306341,8.94687305918472e-08,5.10994264151722e-05
"15","Siderastrea_Mexico_Barshis-Radice_Host_contig06321",20.8810119522343,2.68023036189199,0.50392576348353,5.31870080101509,1.04510834722741e-07,5.57112422962024e-05
"16","Siderastrea_Mexico_Barshis-Radice_Host_contig02545",5.70256768544788,4.33666061705031,0.819516193725464,5.2917326713657,1.21162914328774e-07,5.87671057006366e-05
"17","Siderastrea_Mexico_Barshis-Radice_Host_contig14967",10.5136557086109,-3.8022044940151,0.719281696275943,-5.28611323449615,1.24942570899302e-07,5.87671057006366e-05
"18","Siderastrea_Mexico_Barshis-Radice_Host_contig03157",79.547173402373,-2.92953486402524,0.555884830322144,-5.27003923155724,1.36394603215496e-07,6.0589513739506e-05
"19","Siderastrea_Mexico_Barshis-Radice_Host_contig07425",7.13696543729485,3.88068516548513,0.737997733298105,5.25839713374509,1.45316433970921e-07,6.1155274001657e-05
