"","gene","module"
"1","Siderastrea_Mexico_Barshis-Radice_Host_contig00624","cyan"
"2","Siderastrea_Mexico_Barshis-Radice_Host_contig00790","cyan"
"3","Siderastrea_Mexico_Barshis-Radice_Host_contig01157","cyan"
"4","Siderastrea_Mexico_Barshis-Radice_Host_contig01190","cyan"
"5","Siderastrea_Mexico_Barshis-Radice_Host_contig01252","cyan"
"6","Siderastrea_Mexico_Barshis-Radice_Host_contig01875","cyan"
"7","Siderastrea_Mexico_Barshis-Radice_Host_contig02280","cyan"
"8","Siderastrea_Mexico_Barshis-Radice_Host_contig02547","cyan"
"9","Siderastrea_Mexico_Barshis-Radice_Host_contig02563","cyan"
"10","Siderastrea_Mexico_Barshis-Radice_Host_contig02567","cyan"
"11","Siderastrea_Mexico_Barshis-Radice_Host_contig02607","cyan"
"12","Siderastrea_Mexico_Barshis-Radice_Host_contig02860","cyan"
"13","Siderastrea_Mexico_Barshis-Radice_Host_contig03231","cyan"
"14","Siderastrea_Mexico_Barshis-Radice_Host_contig03746","cyan"
"15","Siderastrea_Mexico_Barshis-Radice_Host_contig03852","cyan"
"16","Siderastrea_Mexico_Barshis-Radice_Host_contig03894","cyan"
"17","Siderastrea_Mexico_Barshis-Radice_Host_contig03908","cyan"
"18","Siderastrea_Mexico_Barshis-Radice_Host_contig04027","cyan"
"19","Siderastrea_Mexico_Barshis-Radice_Host_contig04174","cyan"
"20","Siderastrea_Mexico_Barshis-Radice_Host_contig04304","cyan"
"21","Siderastrea_Mexico_Barshis-Radice_Host_contig04711","cyan"
"22","Siderastrea_Mexico_Barshis-Radice_Host_contig04940","cyan"
"23","Siderastrea_Mexico_Barshis-Radice_Host_contig05094","cyan"
"24","Siderastrea_Mexico_Barshis-Radice_Host_contig05315","cyan"
"25","Siderastrea_Mexico_Barshis-Radice_Host_contig05765","cyan"
"26","Siderastrea_Mexico_Barshis-Radice_Host_contig05959","cyan"
"27","Siderastrea_Mexico_Barshis-Radice_Host_contig06002","cyan"
"28","Siderastrea_Mexico_Barshis-Radice_Host_contig06707","cyan"
"29","Siderastrea_Mexico_Barshis-Radice_Host_contig07755","cyan"
"30","Siderastrea_Mexico_Barshis-Radice_Host_contig07871","cyan"
"31","Siderastrea_Mexico_Barshis-Radice_Host_contig07885","cyan"
"32","Siderastrea_Mexico_Barshis-Radice_Host_contig08812","cyan"
"33","Siderastrea_Mexico_Barshis-Radice_Host_contig08969","cyan"
"34","Siderastrea_Mexico_Barshis-Radice_Host_contig09258","cyan"
"35","Siderastrea_Mexico_Barshis-Radice_Host_contig09345","cyan"
"36","Siderastrea_Mexico_Barshis-Radice_Host_contig09425","cyan"
"37","Siderastrea_Mexico_Barshis-Radice_Host_contig10090","cyan"
"38","Siderastrea_Mexico_Barshis-Radice_Host_contig10499","cyan"
"39","Siderastrea_Mexico_Barshis-Radice_Host_contig10626","cyan"
"40","Siderastrea_Mexico_Barshis-Radice_Host_contig11189","cyan"
"41","Siderastrea_Mexico_Barshis-Radice_Host_contig11317","cyan"
"42","Siderastrea_Mexico_Barshis-Radice_Host_contig11416","cyan"
"43","Siderastrea_Mexico_Barshis-Radice_Host_contig11782","cyan"
"44","Siderastrea_Mexico_Barshis-Radice_Host_contig12048","cyan"
"45","Siderastrea_Mexico_Barshis-Radice_Host_contig13342","cyan"
"46","Siderastrea_Mexico_Barshis-Radice_Host_contig13862","cyan"
"47","Siderastrea_Mexico_Barshis-Radice_Host_contig13927","cyan"
"48","Siderastrea_Mexico_Barshis-Radice_Host_contig14119","cyan"
"49","Siderastrea_Mexico_Barshis-Radice_Host_contig14216","cyan"
"50","Siderastrea_Mexico_Barshis-Radice_Host_contig14294","cyan"
"51","Siderastrea_Mexico_Barshis-Radice_Host_contig14435","cyan"
"52","Siderastrea_Mexico_Barshis-Radice_Host_contig14656","cyan"
"53","Siderastrea_Mexico_Barshis-Radice_Host_contig14850","cyan"
"54","Siderastrea_Mexico_Barshis-Radice_Host_contig15443","cyan"
"55","Siderastrea_Mexico_Barshis-Radice_Host_contig15901","cyan"
"56","Siderastrea_Mexico_Barshis-Radice_Host_contig16395","cyan"
"57","Siderastrea_Mexico_Barshis-Radice_Host_contig16771","cyan"
"58","Siderastrea_Mexico_Barshis-Radice_Host_contig17107","cyan"
"59","Siderastrea_Mexico_Barshis-Radice_Host_contig17553","cyan"
"60","Siderastrea_Mexico_Barshis-Radice_Host_contig18739","cyan"
"61","Siderastrea_Mexico_Barshis-Radice_Host_contig18950","cyan"
"62","Siderastrea_Mexico_Barshis-Radice_Host_contig19046","cyan"
"63","Siderastrea_Mexico_Barshis-Radice_Host_contig19230","cyan"
"64","Siderastrea_Mexico_Barshis-Radice_Host_contig00040","midnightblue"
"65","Siderastrea_Mexico_Barshis-Radice_Host_contig00045","midnightblue"
"66","Siderastrea_Mexico_Barshis-Radice_Host_contig00050","midnightblue"
"67","Siderastrea_Mexico_Barshis-Radice_Host_contig00124","midnightblue"
"68","Siderastrea_Mexico_Barshis-Radice_Host_contig00142","midnightblue"
"69","Siderastrea_Mexico_Barshis-Radice_Host_contig00148","midnightblue"
"70","Siderastrea_Mexico_Barshis-Radice_Host_contig00176","midnightblue"
"71","Siderastrea_Mexico_Barshis-Radice_Host_contig00194","midnightblue"
"72","Siderastrea_Mexico_Barshis-Radice_Host_contig00280","midnightblue"
"73","Siderastrea_Mexico_Barshis-Radice_Host_contig00371","midnightblue"
"74","Siderastrea_Mexico_Barshis-Radice_Host_contig00477","midnightblue"
"75","Siderastrea_Mexico_Barshis-Radice_Host_contig00540","midnightblue"
"76","Siderastrea_Mexico_Barshis-Radice_Host_contig00702","midnightblue"
"77","Siderastrea_Mexico_Barshis-Radice_Host_contig00715","midnightblue"
"78","Siderastrea_Mexico_Barshis-Radice_Host_contig00734","midnightblue"
"79","Siderastrea_Mexico_Barshis-Radice_Host_contig00822","midnightblue"
"80","Siderastrea_Mexico_Barshis-Radice_Host_contig00876","midnightblue"
"81","Siderastrea_Mexico_Barshis-Radice_Host_contig00901","midnightblue"
"82","Siderastrea_Mexico_Barshis-Radice_Host_contig00915","midnightblue"
"83","Siderastrea_Mexico_Barshis-Radice_Host_contig00942","midnightblue"
"84","Siderastrea_Mexico_Barshis-Radice_Host_contig00950","midnightblue"
"85","Siderastrea_Mexico_Barshis-Radice_Host_contig00972","midnightblue"
"86","Siderastrea_Mexico_Barshis-Radice_Host_contig00987","midnightblue"
"87","Siderastrea_Mexico_Barshis-Radice_Host_contig01279","midnightblue"
"88","Siderastrea_Mexico_Barshis-Radice_Host_contig01326","midnightblue"
"89","Siderastrea_Mexico_Barshis-Radice_Host_contig01448","midnightblue"
"90","Siderastrea_Mexico_Barshis-Radice_Host_contig01462","midnightblue"
"91","Siderastrea_Mexico_Barshis-Radice_Host_contig01516","midnightblue"
"92","Siderastrea_Mexico_Barshis-Radice_Host_contig01536","midnightblue"
"93","Siderastrea_Mexico_Barshis-Radice_Host_contig01716","midnightblue"
"94","Siderastrea_Mexico_Barshis-Radice_Host_contig01903","midnightblue"
"95","Siderastrea_Mexico_Barshis-Radice_Host_contig01917","midnightblue"
"96","Siderastrea_Mexico_Barshis-Radice_Host_contig02005","midnightblue"
"97","Siderastrea_Mexico_Barshis-Radice_Host_contig02035","midnightblue"
"98","Siderastrea_Mexico_Barshis-Radice_Host_contig02253","midnightblue"
"99","Siderastrea_Mexico_Barshis-Radice_Host_contig02286","midnightblue"
"100","Siderastrea_Mexico_Barshis-Radice_Host_contig02305","midnightblue"
"101","Siderastrea_Mexico_Barshis-Radice_Host_contig02448","midnightblue"
"102","Siderastrea_Mexico_Barshis-Radice_Host_contig02472","midnightblue"
"103","Siderastrea_Mexico_Barshis-Radice_Host_contig02508","midnightblue"
"104","Siderastrea_Mexico_Barshis-Radice_Host_contig02570","midnightblue"
"105","Siderastrea_Mexico_Barshis-Radice_Host_contig02673","midnightblue"
"106","Siderastrea_Mexico_Barshis-Radice_Host_contig02690","midnightblue"
"107","Siderastrea_Mexico_Barshis-Radice_Host_contig02733","midnightblue"
"108","Siderastrea_Mexico_Barshis-Radice_Host_contig02748","midnightblue"
"109","Siderastrea_Mexico_Barshis-Radice_Host_contig02792","midnightblue"
"110","Siderastrea_Mexico_Barshis-Radice_Host_contig02948","midnightblue"
"111","Siderastrea_Mexico_Barshis-Radice_Host_contig02968","midnightblue"
"112","Siderastrea_Mexico_Barshis-Radice_Host_contig03211","midnightblue"
"113","Siderastrea_Mexico_Barshis-Radice_Host_contig03283","midnightblue"
"114","Siderastrea_Mexico_Barshis-Radice_Host_contig03293","midnightblue"
"115","Siderastrea_Mexico_Barshis-Radice_Host_contig03309","midnightblue"
"116","Siderastrea_Mexico_Barshis-Radice_Host_contig03315","midnightblue"
"117","Siderastrea_Mexico_Barshis-Radice_Host_contig03396","midnightblue"
"118","Siderastrea_Mexico_Barshis-Radice_Host_contig03535","midnightblue"
"119","Siderastrea_Mexico_Barshis-Radice_Host_contig03542","midnightblue"
"120","Siderastrea_Mexico_Barshis-Radice_Host_contig03610","midnightblue"
"121","Siderastrea_Mexico_Barshis-Radice_Host_contig03644","midnightblue"
"122","Siderastrea_Mexico_Barshis-Radice_Host_contig03680","midnightblue"
"123","Siderastrea_Mexico_Barshis-Radice_Host_contig03877","midnightblue"
"124","Siderastrea_Mexico_Barshis-Radice_Host_contig03995","midnightblue"
"125","Siderastrea_Mexico_Barshis-Radice_Host_contig04006","midnightblue"
"126","Siderastrea_Mexico_Barshis-Radice_Host_contig04045","midnightblue"
"127","Siderastrea_Mexico_Barshis-Radice_Host_contig04070","midnightblue"
"128","Siderastrea_Mexico_Barshis-Radice_Host_contig04244","midnightblue"
"129","Siderastrea_Mexico_Barshis-Radice_Host_contig04284","midnightblue"
"130","Siderastrea_Mexico_Barshis-Radice_Host_contig04322","midnightblue"
"131","Siderastrea_Mexico_Barshis-Radice_Host_contig04357","midnightblue"
"132","Siderastrea_Mexico_Barshis-Radice_Host_contig04361","midnightblue"
"133","Siderastrea_Mexico_Barshis-Radice_Host_contig04534","midnightblue"
"134","Siderastrea_Mexico_Barshis-Radice_Host_contig04536","midnightblue"
"135","Siderastrea_Mexico_Barshis-Radice_Host_contig04658","midnightblue"
"136","Siderastrea_Mexico_Barshis-Radice_Host_contig04708","midnightblue"
"137","Siderastrea_Mexico_Barshis-Radice_Host_contig04750","midnightblue"
"138","Siderastrea_Mexico_Barshis-Radice_Host_contig04794","midnightblue"
"139","Siderastrea_Mexico_Barshis-Radice_Host_contig04974","midnightblue"
"140","Siderastrea_Mexico_Barshis-Radice_Host_contig05217","midnightblue"
"141","Siderastrea_Mexico_Barshis-Radice_Host_contig05381","midnightblue"
"142","Siderastrea_Mexico_Barshis-Radice_Host_contig05460","midnightblue"
"143","Siderastrea_Mexico_Barshis-Radice_Host_contig05469","midnightblue"
"144","Siderastrea_Mexico_Barshis-Radice_Host_contig05472","midnightblue"
"145","Siderastrea_Mexico_Barshis-Radice_Host_contig05540","midnightblue"
"146","Siderastrea_Mexico_Barshis-Radice_Host_contig05555","midnightblue"
"147","Siderastrea_Mexico_Barshis-Radice_Host_contig05607","midnightblue"
"148","Siderastrea_Mexico_Barshis-Radice_Host_contig05635","midnightblue"
"149","Siderastrea_Mexico_Barshis-Radice_Host_contig05687","midnightblue"
"150","Siderastrea_Mexico_Barshis-Radice_Host_contig05690","midnightblue"
"151","Siderastrea_Mexico_Barshis-Radice_Host_contig05867","midnightblue"
"152","Siderastrea_Mexico_Barshis-Radice_Host_contig06044","midnightblue"
"153","Siderastrea_Mexico_Barshis-Radice_Host_contig06453","midnightblue"
"154","Siderastrea_Mexico_Barshis-Radice_Host_contig06469","midnightblue"
"155","Siderastrea_Mexico_Barshis-Radice_Host_contig06518","midnightblue"
"156","Siderastrea_Mexico_Barshis-Radice_Host_contig06545","midnightblue"
"157","Siderastrea_Mexico_Barshis-Radice_Host_contig06568","midnightblue"
"158","Siderastrea_Mexico_Barshis-Radice_Host_contig06686","midnightblue"
"159","Siderastrea_Mexico_Barshis-Radice_Host_contig06716","midnightblue"
"160","Siderastrea_Mexico_Barshis-Radice_Host_contig06738","midnightblue"
"161","Siderastrea_Mexico_Barshis-Radice_Host_contig06781","midnightblue"
"162","Siderastrea_Mexico_Barshis-Radice_Host_contig06939","midnightblue"
"163","Siderastrea_Mexico_Barshis-Radice_Host_contig06961","midnightblue"
"164","Siderastrea_Mexico_Barshis-Radice_Host_contig06974","midnightblue"
"165","Siderastrea_Mexico_Barshis-Radice_Host_contig07031","midnightblue"
"166","Siderastrea_Mexico_Barshis-Radice_Host_contig07043","midnightblue"
"167","Siderastrea_Mexico_Barshis-Radice_Host_contig07051","midnightblue"
"168","Siderastrea_Mexico_Barshis-Radice_Host_contig07089","midnightblue"
"169","Siderastrea_Mexico_Barshis-Radice_Host_contig07108","midnightblue"
"170","Siderastrea_Mexico_Barshis-Radice_Host_contig07126","midnightblue"
"171","Siderastrea_Mexico_Barshis-Radice_Host_contig07138","midnightblue"
"172","Siderastrea_Mexico_Barshis-Radice_Host_contig07142","midnightblue"
"173","Siderastrea_Mexico_Barshis-Radice_Host_contig07189","midnightblue"
"174","Siderastrea_Mexico_Barshis-Radice_Host_contig07227","midnightblue"
"175","Siderastrea_Mexico_Barshis-Radice_Host_contig07333","midnightblue"
"176","Siderastrea_Mexico_Barshis-Radice_Host_contig07470","midnightblue"
"177","Siderastrea_Mexico_Barshis-Radice_Host_contig07559","midnightblue"
"178","Siderastrea_Mexico_Barshis-Radice_Host_contig07583","midnightblue"
"179","Siderastrea_Mexico_Barshis-Radice_Host_contig07698","midnightblue"
"180","Siderastrea_Mexico_Barshis-Radice_Host_contig07744","midnightblue"
"181","Siderastrea_Mexico_Barshis-Radice_Host_contig07754","midnightblue"
"182","Siderastrea_Mexico_Barshis-Radice_Host_contig07765","midnightblue"
"183","Siderastrea_Mexico_Barshis-Radice_Host_contig07777","midnightblue"
"184","Siderastrea_Mexico_Barshis-Radice_Host_contig07783","midnightblue"
"185","Siderastrea_Mexico_Barshis-Radice_Host_contig07785","midnightblue"
"186","Siderastrea_Mexico_Barshis-Radice_Host_contig07806","midnightblue"
"187","Siderastrea_Mexico_Barshis-Radice_Host_contig07896","midnightblue"
"188","Siderastrea_Mexico_Barshis-Radice_Host_contig07985","midnightblue"
"189","Siderastrea_Mexico_Barshis-Radice_Host_contig08052","midnightblue"
"190","Siderastrea_Mexico_Barshis-Radice_Host_contig08172","midnightblue"
"191","Siderastrea_Mexico_Barshis-Radice_Host_contig08232","midnightblue"
"192","Siderastrea_Mexico_Barshis-Radice_Host_contig08270","midnightblue"
"193","Siderastrea_Mexico_Barshis-Radice_Host_contig08291","midnightblue"
"194","Siderastrea_Mexico_Barshis-Radice_Host_contig08404","midnightblue"
"195","Siderastrea_Mexico_Barshis-Radice_Host_contig08415","midnightblue"
"196","Siderastrea_Mexico_Barshis-Radice_Host_contig08457","midnightblue"
"197","Siderastrea_Mexico_Barshis-Radice_Host_contig08612","midnightblue"
"198","Siderastrea_Mexico_Barshis-Radice_Host_contig08721","midnightblue"
"199","Siderastrea_Mexico_Barshis-Radice_Host_contig08832","midnightblue"
"200","Siderastrea_Mexico_Barshis-Radice_Host_contig08833","midnightblue"
"201","Siderastrea_Mexico_Barshis-Radice_Host_contig08865","midnightblue"
"202","Siderastrea_Mexico_Barshis-Radice_Host_contig09066","midnightblue"
"203","Siderastrea_Mexico_Barshis-Radice_Host_contig09086","midnightblue"
"204","Siderastrea_Mexico_Barshis-Radice_Host_contig09139","midnightblue"
"205","Siderastrea_Mexico_Barshis-Radice_Host_contig09219","midnightblue"
"206","Siderastrea_Mexico_Barshis-Radice_Host_contig09233","midnightblue"
"207","Siderastrea_Mexico_Barshis-Radice_Host_contig09303","midnightblue"
"208","Siderastrea_Mexico_Barshis-Radice_Host_contig09336","midnightblue"
"209","Siderastrea_Mexico_Barshis-Radice_Host_contig09349","midnightblue"
"210","Siderastrea_Mexico_Barshis-Radice_Host_contig09466","midnightblue"
"211","Siderastrea_Mexico_Barshis-Radice_Host_contig09703","midnightblue"
"212","Siderastrea_Mexico_Barshis-Radice_Host_contig09719","midnightblue"
"213","Siderastrea_Mexico_Barshis-Radice_Host_contig09754","midnightblue"
"214","Siderastrea_Mexico_Barshis-Radice_Host_contig09944","midnightblue"
"215","Siderastrea_Mexico_Barshis-Radice_Host_contig09983","midnightblue"
"216","Siderastrea_Mexico_Barshis-Radice_Host_contig10389","midnightblue"
"217","Siderastrea_Mexico_Barshis-Radice_Host_contig10406","midnightblue"
"218","Siderastrea_Mexico_Barshis-Radice_Host_contig10415","midnightblue"
"219","Siderastrea_Mexico_Barshis-Radice_Host_contig10476","midnightblue"
"220","Siderastrea_Mexico_Barshis-Radice_Host_contig10478","midnightblue"
"221","Siderastrea_Mexico_Barshis-Radice_Host_contig10514","midnightblue"
"222","Siderastrea_Mexico_Barshis-Radice_Host_contig10624","midnightblue"
"223","Siderastrea_Mexico_Barshis-Radice_Host_contig10633","midnightblue"
"224","Siderastrea_Mexico_Barshis-Radice_Host_contig10707","midnightblue"
"225","Siderastrea_Mexico_Barshis-Radice_Host_contig10752","midnightblue"
"226","Siderastrea_Mexico_Barshis-Radice_Host_contig10912","midnightblue"
"227","Siderastrea_Mexico_Barshis-Radice_Host_contig10937","midnightblue"
"228","Siderastrea_Mexico_Barshis-Radice_Host_contig10959","midnightblue"
"229","Siderastrea_Mexico_Barshis-Radice_Host_contig10998","midnightblue"
"230","Siderastrea_Mexico_Barshis-Radice_Host_contig11032","midnightblue"
"231","Siderastrea_Mexico_Barshis-Radice_Host_contig11044","midnightblue"
"232","Siderastrea_Mexico_Barshis-Radice_Host_contig11046","midnightblue"
"233","Siderastrea_Mexico_Barshis-Radice_Host_contig11080","midnightblue"
"234","Siderastrea_Mexico_Barshis-Radice_Host_contig11090","midnightblue"
"235","Siderastrea_Mexico_Barshis-Radice_Host_contig11113","midnightblue"
"236","Siderastrea_Mexico_Barshis-Radice_Host_contig11132","midnightblue"
"237","Siderastrea_Mexico_Barshis-Radice_Host_contig11152","midnightblue"
"238","Siderastrea_Mexico_Barshis-Radice_Host_contig11229","midnightblue"
"239","Siderastrea_Mexico_Barshis-Radice_Host_contig11278","midnightblue"
"240","Siderastrea_Mexico_Barshis-Radice_Host_contig11337","midnightblue"
"241","Siderastrea_Mexico_Barshis-Radice_Host_contig11342","midnightblue"
"242","Siderastrea_Mexico_Barshis-Radice_Host_contig11432","midnightblue"
"243","Siderastrea_Mexico_Barshis-Radice_Host_contig11436","midnightblue"
"244","Siderastrea_Mexico_Barshis-Radice_Host_contig11461","midnightblue"
"245","Siderastrea_Mexico_Barshis-Radice_Host_contig11549","midnightblue"
"246","Siderastrea_Mexico_Barshis-Radice_Host_contig11849","midnightblue"
"247","Siderastrea_Mexico_Barshis-Radice_Host_contig11954","midnightblue"
"248","Siderastrea_Mexico_Barshis-Radice_Host_contig12171","midnightblue"
"249","Siderastrea_Mexico_Barshis-Radice_Host_contig12280","midnightblue"
"250","Siderastrea_Mexico_Barshis-Radice_Host_contig12343","midnightblue"
"251","Siderastrea_Mexico_Barshis-Radice_Host_contig12426","midnightblue"
"252","Siderastrea_Mexico_Barshis-Radice_Host_contig12516","midnightblue"
"253","Siderastrea_Mexico_Barshis-Radice_Host_contig12540","midnightblue"
"254","Siderastrea_Mexico_Barshis-Radice_Host_contig12610","midnightblue"
"255","Siderastrea_Mexico_Barshis-Radice_Host_contig12635","midnightblue"
"256","Siderastrea_Mexico_Barshis-Radice_Host_contig12688","midnightblue"
"257","Siderastrea_Mexico_Barshis-Radice_Host_contig12706","midnightblue"
"258","Siderastrea_Mexico_Barshis-Radice_Host_contig12877","midnightblue"
