ContigName,PC_349_C_Sid_yr2,PC_350_La_Sid_yr2,PC_361_N_Sid_yr2,PC_362_C_Sid_yr2,PC_363_La_Sid_yr2,PC_364_N_Sid_yr2,PC_365_C_Sid_yr2,PC_366_La_Sid_yr2,PC_368_C_Sid_yr2,PC_370_N_Sid_yr2,PC_371_C_Sid_yr2,PC_372_La_Sid_yr2,PC_373_N_Sid_yr2,PC_374_C_Sid_yr2,PC_375_La_Sid_yr2,PC_376_N_Sid_yr2,PO_331_C_Sid_yr2,PO_332_La_Sid_yr2,PO_333_N_Sid_yr2,PO_334_C_Sid_yr2,PO_335_La_Sid_yr2,PO_336_N_Sid_yr2,PO_337_C_Sid_yr2,PO_338_La_Sid_yr2,PO_339_N_Sid_yr2,PO_340_C_Sid_yr2,PO_341_La_Sid_yr2,PO_342_N_Sid_yr2,PO_343_C_Sid_yr2,PO_344_La_Sid_yr2,PO_345_N_Sid_yr2,PO_347_La_Sid_yr2,PO_348_N_Sid_yr2,R_003_C_Sid_yr2,R_004_La_Sid_yr2,R_005_N_Sid_yr2,R_009_C_Sid_yr2,R_010_La_Sid_yr2,R_011_N_Sid_yr2,R_012_C_Sid_yr2,R_013_La_Sid_yr2,R_014_N_Sid_yr2,R_015_C_Sid_yr2,R_017_N_Sid_yr2,R_018_C_Sid_yr2,R_019_La_Sid_yr2,R_020_N_Sid_yr2,R_021_C_Sid_yr2,R_022_La_Sid_yr2,R_024_C_Sid_yr2,R_025_La_Sid_yr2,R_026_N_Sid_yr2,R_027_C_Sid_yr2,R_029_N_Sid_yr2,R_030_C_Sid_yr2,R_031_La_Sid_yr2
Siderastrea_Mexico_Barshis-Radice_Host_contig00001,1,0,0,1,0,2,0,0,1,0,6,4,0,0,3,0,1,0,0,1,0,0,0,0,2,0,1,0,1,0,3,0,2,1,2,4,1,0,3,3,9,0,4,5,1,2,5,0,0,25,0,0,4,1,0,1
Siderastrea_Mexico_Barshis-Radice_Host_contig00002,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,3,0,0,0,2,0,3,3,10,27,1,3,10,0,1,6,3,6,1,50,0,2,13,5,16
Siderastrea_Mexico_Barshis-Radice_Host_contig00003,0,2,0,3,0,0,2,1,2,0,2,5,0,0,0,0,0,0,0,4,7,0,8,0,1,5,2,1,0,2,0,10,1,7,2,2,6,2,1,8,6,0,6,2,0,1,2,1,5,0,9,0,12,0,1,1
Siderastrea_Mexico_Barshis-Radice_Host_contig00004,0,1,1,0,1,4,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,5,3,3,0,2,3,0,0,1,0,6,0,3,0,0,15,1,0
Siderastrea_Mexico_Barshis-Radice_Host_contig00005,2,0,1,1,2,10,5,3,4,0,13,4,0,6,3,0,2,4,0,10,5,0,7,0,4,4,8,0,0,1,1,3,0,3,9,9,9,7,8,5,11,0,6,5,0,4,11,2,8,0,20,1,7,0,6,5
Siderastrea_Mexico_Barshis-Radice_Host_contig00006,0,0,1,4,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,3,0,0,3,0,1,3,1,0,1,0,8,0,0,7,0,0,2,1,2,41,42,0,4,1,0,7
Siderastrea_Mexico_Barshis-Radice_Host_contig00007,1,1,1,0,0,2,0,1,1,2,6,1,1,0,2,0,1,2,0,3,0,0,0,1,3,0,0,0,0,0,0,1,3,0,2,3,0,0,0,7,16,0,1,12,0,2,6,2,12,0,40,0,0,3,0,8
Siderastrea_Mexico_Barshis-Radice_Host_contig00008,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,2,3,0,0,5,2,0,2,0,0,1,0,3,4,0,1,2,0,1,0,0,0,0,9,0,1,3,0,0
Siderastrea_Mexico_Barshis-Radice_Host_contig00009,2,1,3,4,2,10,7,3,4,0,4,8,0,0,4,0,2,5,1,9,0,0,31,1,6,9,5,3,11,9,4,11,13,4,10,7,16,5,6,24,7,0,7,2,0,6,11,3,12,77,5,0,11,1,2,12
Siderastrea_Mexico_Barshis-Radice_Host_contig00010,0,3,3,0,0,4,5,9,9,0,9,4,0,4,2,0,1,1,7,15,2,1,14,1,9,8,10,6,1,7,11,32,26,3,11,8,13,6,1,11,13,0,0,1,0,6,5,0,1,39,13,0,5,0,0,6
