Filename	Total#Reads	NumContigsMatched	NumUnaligned	NumAligned	NumMultiAligned	NumSingleAligned	NumQualSingles	PropQualAligned
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/PC_349_C_Sid_yr2_R1_nof_hybridref.sam	20687572	32661	4602332	16085240	14016857	2068383	16050345	0.776
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/PC_350_La_Sid_yr2_R1_nof_hybridref.sam	10161503	30092	1873847	8287656	7356969	930687	8273845	0.814
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/PC_361_N_Sid_yr2_R1_nof_hybridref.sam	24189462	27859	6635412	17554050	15001945	2552105	17523688	0.724
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/PC_362_C_Sid_yr2_R1_nof_hybridref.sam	28731943	36122	6574097	22157846	19080007	3077839	22120362	0.770
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/PC_363_La_Sid_yr2_R1_nof_hybridref.sam	31741739	27044	7026683	24715056	21461950	3253106	24671205	0.777
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/PC_364_N_Sid_yr2_R1_nof_hybridref.sam	46524950	47629	10054346	36470604	31632521	4838083	36410775	0.783
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/PC_365_C_Sid_yr2_R1_nof_hybridref.sam	44185949	44073	11660956	32524993	27919173	4605820	32486860	0.735
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/PC_366_La_Sid_yr2_R1_nof_hybridref.sam	38691320	50536	8794122	29897198	25769630	4127568	29866904	0.772
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/PC_368_C_Sid_yr2_R1_nof_hybridref.sam	42968295	44468	9844569	33123726	28880233	4243493	33071264	0.770
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/PC_370_N_Sid_yr2_R1_nof_hybridref.sam	28059434	9753	14994975	13064459	10837216	2227243	13031477	0.464
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/PC_371_C_Sid_yr2_R1_nof_hybridref.sam	38605826	32766	8312671	30293155	26661672	3631483	30270049	0.784
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/PC_372_La_Sid_yr2_R1_nof_hybridref.sam	47832063	42941	10425054	37407009	32974522	4432487	37374359	0.781
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/PC_373_N_Sid_yr2_R1_nof_hybridref.sam	19005299	5809	9273865	9731434	8673385	1058049	9691957	0.510
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/PC_374_C_Sid_yr2_R1_nof_hybridref.sam	25005642	36782	5706316	19299326	16794809	2504517	19273228	0.771
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/PC_375_La_Sid_yr2_R1_nof_hybridref.sam	44461286	47785	9673564	34787722	30424978	4362744	34745145	0.781
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/PC_376_N_Sid_yr2_R1_nof_hybridref.sam	18826710	5565	8727461	10099249	8966792	1132457	10021133	0.532
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/PO_331_C_Sid_yr2_R1_nof_hybridref.sam	14931063	24167	5063944	9867119	8593806	1273313	9848581	0.660
