"","group","LFC","n","Destination"
"1","OC-LC","Down",-10,"Control"
"2","OC-LC","Up",3,"Control"
"3","OC-RC","Down",-5439,"Control"
"4","OC-RC","Up",197,"Control"
"5","LC-RC","Down",-2831,"Control"
"6","LC-RC","Up",183,"Control"
"7","OO-LO","Down",-9,"Ojo"
"8","OO-LO","Up",63,"Ojo"
"9","LO-RO","Down",-91,"Ojo"
"10","LO-RO","Up",136,"Ojo"
"11","OO-RO","Down",-2755,"Ojo"
"12","OO-RO","Up",171,"Ojo"
"13","LO-LC","Down",-57,"Ojo vs. Control"
"14","LO-LC","Up",3,"Ojo vs. Control"
"15","OO-OC","Down",-9,"Ojo vs. Control"
"16","OO-OC","Up",33,"Ojo vs. Control"
"17","RO-RC","Down",-1,"Ojo vs. Control"
"18","RO-RC","Up",8,"Ojo vs. Control"
