"","DEG","up.results_LC_RC_padj.1","down.results_LC_RC_padj.1"
"1","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN102137_c0_g1_i1_Symbiont"
"2","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN1267_c0_g1_i1_Symbiont"
"3","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN15205_c0_g2_i1_Symbiont"
"4","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN196928_c0_g1_i1_Symbiont"
"5","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN200778_c1_g2_i1_Symbiont"
"6","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN204736_c0_g1_i1_Symbiont"
"7","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN205801_c0_g1_i1_Symbiont"
"8","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN209212_c0_g1_i1_Symbiont"
"9","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN212977_c0_g1_i1_Symbiont"
"10","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN232725_c0_g2_i1_Symbiont"
"11","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN238114_c0_g1_i1_Symbiont"
"12","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN242978_c0_g2_i1_Symbiont"
"13","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN243280_c0_g1_i1_Symbiont"
"14","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN262616_c0_g1_i1_Symbiont"
"15","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN267532_c0_g3_i1_Symbiont"
"16","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN268016_c0_g1_i1_Symbiont"
"17","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN269592_c0_g1_i2_Symbiont"
"18","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN272111_c0_g2_i1_Symbiont"
"19","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN273184_c0_g1_i1_Symbiont"
"20","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN286959_c0_g1_i3_Symbiont"
"21","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN320106_c0_g1_i1_Symbiont"
"22","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN321995_c1_g3_i1_Symbiont"
"23","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN342787_c2_g1_i1_Symbiont"
"24","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN344575_c1_g1_i1_Symbiont"
"25","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN346584_c1_g3_i1_Symbiont"
"26","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN357892_c0_g3_i1_Symbiont"
"27","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN358108_c1_g2_i2_Symbiont"
"28","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN358123_c0_g1_i3_Symbiont"
"29","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN358269_c0_g2_i1_Symbiont"
"30","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN358882_c0_g1_i1_Symbiont"
"31","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN367907_c1_g3_i2_Symbiont"
"32","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN369608_c0_g2_i1_Symbiont"
"33","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN370093_c0_g2_i3_Symbiont"
"34","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN371806_c1_g3_i7_Symbiont"
"35","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN373615_c0_g2_i3_Symbiont"
"36","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN373806_c0_g1_i1_Symbiont"
"37","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN376019_c0_g1_i9_Symbiont"
"38","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN378836_c0_g3_i2_Symbiont"
"39","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN379871_c0_g1_i2_Symbiont"
"40","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN381327_c1_g3_i2_Symbiont"
"41","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN382777_c1_g2_i1_Symbiont"
"42","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN386262_c2_g1_i1_Symbiont"
"43","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN396743_c1_g1_i1_Symbiont"
"44","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN396791_c1_g3_i8_Symbiont"
"45","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN396965_c0_g1_i1_Symbiont"
"46","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN398089_c0_g7_i2_Symbiont"
"47","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN398098_c0_g6_i1_Symbiont"
"48","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN399656_c0_g3_i3_Symbiont"
"49","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN399931_c0_g1_i4_Symbiont"
"50","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN400478_c1_g1_i2_Symbiont"
"51","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN40138_c0_g1_i1_Symbiont"
"52","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN402838_c1_g2_i1_Symbiont"
"53","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN403333_c2_g3_i2_Symbiont"
"54","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN403928_c0_g1_i1_Symbiont"
"55","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN404935_c0_g1_i2_Symbiont"
"56","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN406510_c0_g1_i5_Symbiont"
"57","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN407094_c3_g6_i2_Symbiont"
"58","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN407491_c4_g2_i2_Symbiont"
"59","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN408287_c0_g1_i5_Symbiont"
"60","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN408382_c1_g1_i5_Symbiont"
"61","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN409917_c2_g1_i1_Symbiont"
"62","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN410087_c3_g9_i2_Symbiont"
"63","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN410315_c3_g5_i2_Symbiont"
"64","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN411478_c0_g2_i10_Symbiont"
"65","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN413316_c2_g2_i2_Symbiont"
"66","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN413590_c1_g3_i1_Symbiont"
"67","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN414284_c0_g1_i2_Symbiont"
"68","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN414749_c5_g2_i2_Symbiont"
"69","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN415262_c0_g3_i1_Symbiont"
"70","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN415506_c3_g8_i3_Symbiont"
"71","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN415688_c0_g2_i1_Symbiont"
"72","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN417135_c2_g2_i1_Symbiont"
"73","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN417135_c2_g6_i1_Symbiont"
"74","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN417394_c1_g3_i5_Symbiont"
"75","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN419087_c1_g7_i1_Symbiont"
"76","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN419933_c0_g2_i1_Symbiont"
"77","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN420019_c3_g2_i1_Symbiont"
"78","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN421025_c3_g2_i1_Symbiont"
"79","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN421311_c1_g2_i1_Symbiont"
"80","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN422360_c0_g1_i2_Symbiont"
"81","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN423116_c1_g5_i4_Symbiont"
"82","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN423204_c1_g1_i3_Symbiont"
"83","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN423810_c0_g2_i4_Symbiont"
"84","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN424293_c2_g5_i5_Symbiont"
"85","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN425078_c4_g1_i1_Symbiont"
"86","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN426798_c0_g3_i3_Symbiont"
"87","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN427528_c2_g4_i1_Symbiont"
"88","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN428002_c1_g2_i1_Symbiont"
"89","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN428256_c0_g7_i2_Symbiont"
"90","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN430861_c0_g1_i1_Symbiont"
"91","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN430911_c3_g11_i4_Symbiont"
"92","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN430971_c1_g10_i1_Symbiont"
"93","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN431224_c5_g13_i5_Symbiont"
"94","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN434501_c1_g1_i1_Symbiont"
"95","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN434501_c2_g1_i2_Symbiont"
"96","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN434501_c4_g3_i1_Symbiont"
"97","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN434778_c3_g11_i2_Symbiont"
"98","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN434791_c1_g1_i1_Symbiont"
"99","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN437104_c0_g2_i5_Symbiont"
"100","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN438476_c2_g10_i1_Symbiont"
"101","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN438833_c0_g5_i6_Symbiont"
"102","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN439144_c3_g4_i2_Symbiont"
"103","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN439741_c0_g1_i5_Symbiont"
"104","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN440590_c2_g1_i6_Symbiont"
"105","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN443016_c0_g7_i2_Symbiont"
"106","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN443665_c1_g2_i3_Symbiont"
"107","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN445418_c0_g16_i1_Symbiont"
"108","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN446927_c0_g1_i5_Symbiont"
"109","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN446971_c0_g4_i3_Symbiont"
"110","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN447514_c0_g2_i5_Symbiont"
"111","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN447514_c0_g3_i4_Symbiont"
"112","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN448927_c4_g6_i1_Symbiont"
"113","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN453601_c1_g1_i1_Symbiont"
"114","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN455898_c1_g1_i2_Symbiont"
"115","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN456316_c16_g1_i5_Symbiont"
"116","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN456689_c28_g8_i5_Symbiont"
"117","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN527855_c0_g1_i1_Symbiont"
"118","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN532101_c0_g1_i1_Symbiont"
"119","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN690402_c0_g1_i1_Symbiont"
"120","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN695252_c0_g1_i1_Symbiont"
"121","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN703561_c0_g1_i1_Symbiont"
"122","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN764573_c0_g1_i1_Symbiont"
"123","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN773329_c0_g1_i1_Symbiont"
"124","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN785354_c0_g1_i1_Symbiont"
"125","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN847238_c0_g1_i1_Symbiont"
"126","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN849253_c0_g1_i1_Symbiont"
"127","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN854144_c0_g1_i1_Symbiont"
"128","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN859052_c0_g1_i1_Symbiont"
