"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Breviolum_Sid-radians_Avila-Medina_DN408645_c0_g1_i4_Symbiont",1261.51861255612,7.73727765265431,0.898238392571046,8.61383538785038,7.06561232345462e-18,4.92190554451849e-14
"2","Breviolum_Sid-radians_Avila-Medina_DN408353_c0_g1_i2_Symbiont",30.1100893107543,8.41103717667757,1.0782057488681,7.80095745687448,6.14392244220413e-15,2.1399281866197e-11
"3","Breviolum_Sid-radians_Avila-Medina_DN406946_c0_g4_i1_Symbiont",46.1691259666827,8.44195681722279,1.10540078925034,7.63700994184015,2.22324339263821e-14,5.16237115770592e-11
"4","Breviolum_Sid-radians_Avila-Medina_DN438456_c1_g1_i1_Symbiont",24.6030348995067,7.90799701425012,1.04266840602629,7.58438346126576,3.340717844786e-14,5.81786012669481e-11
"5","Breviolum_Sid-radians_Avila-Medina_DN439728_c1_g4_i2_Symbiont",44.988962384888,8.77929558724745,1.16222719035108,7.55385492624332,4.22560842299028e-14,5.88711765491006e-11
"6","Breviolum_Sid-radians_Avila-Medina_DN429347_c1_g4_i15_Symbiont",100.304200078698,7.49078459674552,1.00016101171455,7.48957868683988,6.90950501188583e-14,8.02193531879945e-11
"7","Breviolum_Sid-radians_Avila-Medina_DN365767_c0_g1_i1_Symbiont",18.3170563561108,7.84298886725613,1.09346852723779,7.17257851679401,7.35981782504071e-13,5.12684909692336e-10
"8","Breviolum_Sid-radians_Avila-Medina_DN379323_c0_g1_i1_Symbiont",18.8314660779695,7.60106835361272,1.05440793584866,7.20884972047831,5.64264921827387e-13,5.12684909692336e-10
"9","Breviolum_Sid-radians_Avila-Medina_DN415814_c0_g1_i2_Symbiont",31.690715780679,7.859672670264,1.09208826728815,7.19692071207852,6.15875508823076e-13,5.12684909692336e-10
"10","Breviolum_Sid-radians_Avila-Medina_DN438103_c0_g1_i1_Symbiont",15.0337666745524,7.4069634974504,1.03192115191754,7.17783862040877,7.08220851105774e-13,5.12684909692336e-10
"11","Breviolum_Sid-radians_Avila-Medina_DN401621_c0_g1_i1_Symbiont",17.643596993215,7.53881413369438,1.06747950225326,7.06225657521414,1.63820137070764e-12,1.03742824984995e-09
"12","Breviolum_Sid-radians_Avila-Medina_DN339724_c0_g1_i1_Symbiont",22.1985473398125,7.34614251893269,1.04781498960896,7.01091565952332,2.36763434758666e-12,1.09952939101924e-09
"13","Breviolum_Sid-radians_Avila-Medina_DN388140_c0_g2_i2_Symbiont",15.776113046612,7.52559028326794,1.07271633896254,7.01545227748299,2.29206292627469e-12,1.09952939101924e-09
"14","Breviolum_Sid-radians_Avila-Medina_DN417251_c0_g6_i1_Symbiont",14.3927246066496,7.24057771959628,1.02874198937986,7.03828345138413,1.94622469997904e-12,1.09952939101924e-09
"15","Breviolum_Sid-radians_Avila-Medina_DN98006_c0_g2_i1_Symbiont",18.7488399243492,7.73011306257365,1.10137400522192,7.01860859791773,2.24088549523064e-12,1.09952939101924e-09
"16","Breviolum_Sid-radians_Avila-Medina_DN457454_c0_g1_i1_Symbiont",16.068765666859,7.48667211473279,1.08195972142332,6.91954789674063,4.53087281070703e-12,1.97262874996157e-09
"17","Breviolum_Sid-radians_Avila-Medina_DN387394_c0_g1_i1_Symbiont",12.2280439043514,7.13768940051938,1.03490970401354,6.8969199659046,5.31421008719988e-12,2.17757573337849e-09
"18","Breviolum_Sid-radians_Avila-Medina_DN438456_c1_g3_i1_Symbiont",26.1742159794805,7.60694952157022,1.10772621837218,6.86717475437998,6.54858320304209e-12,2.42863578829798e-09
"19","Breviolum_Sid-radians_Avila-Medina_DN840076_c0_g1_i1_Symbiont",14.258883682708,7.33653274127084,1.0686029888392,6.86553642268993,6.62418604330485e-12,2.42863578829798e-09
"20","Breviolum_Sid-radians_Avila-Medina_DN429347_c0_g5_i1_Symbiont",59.1569260751358,6.37683144297364,0.931664729840311,6.84455602828996,7.67134094348428e-12,2.67192805061557e-09
"21","Breviolum_Sid-radians_Avila-Medina_DN317316_c0_g1_i2_Symbiont",17.6001489490778,7.00366885030301,1.0288496740394,6.80728101201188,9.94605396009433e-12,3.13974513233124e-09
"22","Breviolum_Sid-radians_Avila-Medina_DN430694_c0_g2_i3_Symbiont",12.5071077373135,7.07397836024356,1.03992793781337,6.8023736097694,1.02909291509131e-11,3.13974513233124e-09
"23","Breviolum_Sid-radians_Avila-Medina_DN438456_c3_g1_i1_Symbiont",20.0297236455756,7.43003938463987,1.09244117053884,6.80131762241716,1.0366657772555e-11,3.13974513233124e-09
"24","Breviolum_Sid-radians_Avila-Medina_DN415880_c0_g1_i1_Symbiont",14.8435056032393,7.32907445842923,1.07974546200915,6.78777982061771,1.13872255330812e-11,3.17293652253775e-09
"25","Breviolum_Sid-radians_Avila-Medina_DN847946_c0_g1_i1_Symbiont",11.1498087510159,7.13135401235792,1.04994521197418,6.79212013258204,1.10497472876171e-11,3.17293652253775e-09
"26","Breviolum_Sid-radians_Avila-Medina_DN404939_c0_g1_i2_Symbiont",10.0889700308683,6.83149023638271,1.00820256812271,6.77591036997958,1.23625306317671e-11,3.31220724541883e-09
"27","Breviolum_Sid-radians_Avila-Medina_DN277504_c0_g1_i2_Symbiont",13.1728078591047,7.08035094206561,1.04845970362023,6.75309782304252,1.44721291638065e-11,3.67317792696572e-09
"28","Breviolum_Sid-radians_Avila-Medina_DN292099_c0_g1_i1_Symbiont",9.59267456834421,6.9522311211986,1.03055773250339,6.74608602888315,1.51886584112814e-11,3.67317792696572e-09
