"","DEG","up.results_RO_RC_padj.1","down.results_RO_RC_padj.1"
"1","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN237303_c0_g1_i1_Symbiont"
"2","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN330086_c0_g1_i1_Symbiont"
"3","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN333723_c1_g1_i1_Symbiont"
"4","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN409016_c1_g15_i1_Symbiont"
"5","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN419933_c0_g2_i1_Symbiont"
"6","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN453601_c1_g1_i1_Symbiont"
"7","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN535189_c0_g1_i1_Symbiont"
"8","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN785354_c0_g1_i1_Symbiont"
"9","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN842881_c0_g1_i1_Symbiont"
"10","Up","Breviolum_Sid-radians_Avila-Medina_DN120535_c0_g1_i1_Symbiont",NA
"11","Up","Breviolum_Sid-radians_Avila-Medina_DN295206_c0_g2_i1_Symbiont",NA
"12","Up","Breviolum_Sid-radians_Avila-Medina_DN319667_c0_g1_i1_Symbiont",NA
"13","Up","Breviolum_Sid-radians_Avila-Medina_DN351715_c0_g1_i4_Symbiont",NA
"14","Up","Breviolum_Sid-radians_Avila-Medina_DN374504_c0_g2_i1_Symbiont",NA
"15","Up","Breviolum_Sid-radians_Avila-Medina_DN391495_c0_g1_i2_Symbiont",NA
"16","Up","Breviolum_Sid-radians_Avila-Medina_DN394642_c0_g1_i1_Symbiont",NA
"17","Up","Breviolum_Sid-radians_Avila-Medina_DN407508_c0_g2_i4_Symbiont",NA
"18","Up","Breviolum_Sid-radians_Avila-Medina_DN420123_c4_g1_i2_Symbiont",NA
"19","Up","Breviolum_Sid-radians_Avila-Medina_DN422009_c1_g4_i4_Symbiont",NA
"20","Up","Breviolum_Sid-radians_Avila-Medina_DN427169_c0_g2_i1_Symbiont",NA
"21","Up","Breviolum_Sid-radians_Avila-Medina_DN428259_c0_g21_i1_Symbiont",NA
"22","Up","Breviolum_Sid-radians_Avila-Medina_DN431471_c1_g1_i6_Symbiont",NA
"23","Up","Breviolum_Sid-radians_Avila-Medina_DN431498_c5_g3_i3_Symbiont",NA
"24","Up","Breviolum_Sid-radians_Avila-Medina_DN438008_c0_g2_i10_Symbiont",NA
"25","Up","Breviolum_Sid-radians_Avila-Medina_DN441844_c0_g3_i5_Symbiont",NA
"26","Up","Breviolum_Sid-radians_Avila-Medina_DN443003_c4_g3_i1_Symbiont",NA
"27","Up","Breviolum_Sid-radians_Avila-Medina_DN445851_c4_g4_i8_Symbiont",NA
"28","Up","Breviolum_Sid-radians_Avila-Medina_DN453692_c0_g6_i3_Symbiont",NA
"29","Up","Breviolum_Sid-radians_Avila-Medina_DN454140_c3_g4_i3_Symbiont",NA
"30","Up","Breviolum_Sid-radians_Avila-Medina_DN59510_c0_g1_i1_Symbiont",NA
"31","Up","Breviolum_Sid-radians_Avila-Medina_DN782931_c0_g1_i1_Symbiont",NA
"32","Up","Breviolum_Sid-radians_Avila-Medina_DN853807_c0_g1_i1_Symbiont",NA
