"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Breviolum_Sid-radians_Avila-Medina_DN408645_c0_g1_i4_Symbiont",1261.51861255612,7.3392919352458,0.940300728459265,7.80526028866492,5.93788651378052e-15,4.13633174549951e-11
"2","Breviolum_Sid-radians_Avila-Medina_DN408353_c0_g1_i2_Symbiont",30.1100893107543,8.04767578228917,1.10022484578271,7.31457375566175,2.58199659260296e-13,8.99309413203612e-10
"3","Breviolum_Sid-radians_Avila-Medina_DN439728_c1_g4_i2_Symbiont",44.988962384888,8.57217588502154,1.19020403654127,7.20227425033127,5.92164339418054e-13,1.37500559612872e-09
"4","Breviolum_Sid-radians_Avila-Medina_DN438456_c1_g1_i1_Symbiont",24.6030348995067,7.57984897459775,1.06200217326266,7.13731964531777,9.51683654439611e-13,1.65735708420658e-09
"5","Breviolum_Sid-radians_Avila-Medina_DN429347_c1_g4_i15_Symbiont",100.304200078698,7.23875711275559,1.03262918462795,7.01002569026136,2.38274369303845e-12,3.31963851314117e-09
"6","Breviolum_Sid-radians_Avila-Medina_DN406946_c0_g4_i1_Symbiont",46.1691259666827,7.85159400174024,1.12982336437404,6.94939956927717,3.66844167019453e-12,4.25906077909585e-09
"7","Breviolum_Sid-radians_Avila-Medina_DN415814_c0_g1_i2_Symbiont",31.690715780679,7.70381737758466,1.11466292393028,6.91134262402947,4.80087943635904e-12,4.77756087909672e-09
"8","Breviolum_Sid-radians_Avila-Medina_DN438456_c3_g1_i1_Symbiont",20.0297236455756,7.59690551322039,1.11379430141079,6.82074374379338,9.05703750910699e-12,7.88641541105491e-09
"9","Breviolum_Sid-radians_Avila-Medina_DN379323_c0_g1_i1_Symbiont",18.8314660779695,7.19833875507379,1.07520387814482,6.69485936703831,2.15879140545984e-11,1.67090454782591e-08
"10","Breviolum_Sid-radians_Avila-Medina_DN339724_c0_g1_i1_Symbiont",22.1985473398125,7.09373047623591,1.06730137019741,6.64641747337384,3.003127042942e-11,2.0919782981134e-08
"11","Breviolum_Sid-radians_Avila-Medina_DN401621_c0_g1_i1_Symbiont",17.643596993215,7.21997856966852,1.08893427817066,6.63031618565414,3.34968567497335e-11,2.12126458289676e-08
"12","Breviolum_Sid-radians_Avila-Medina_DN445418_c0_g15_i1_Symbiont",64.4362962748024,6.35772714049685,0.972893572228346,6.53486395838233,6.3667386342151e-11,3.43399554395256e-08
"13","Breviolum_Sid-radians_Avila-Medina_DN417251_c0_g6_i1_Symbiont",14.3927246066496,6.84456358915716,1.04786879082077,6.53188991705342,6.49448856308557e-11,3.43399554395256e-08
"14","Breviolum_Sid-radians_Avila-Medina_DN277504_c0_g1_i2_Symbiont",13.1728078591047,6.96351121029365,1.06756767060231,6.52278202314323,6.901512721122e-11,3.43399554395256e-08
"15","Breviolum_Sid-radians_Avila-Medina_DN365767_c0_g1_i1_Symbiont",18.3170563561108,7.21703472762269,1.11806323859841,6.45494322545641,1.08259481055672e-10,4.91053281298652e-08
"16","Breviolum_Sid-radians_Avila-Medina_DN98006_c0_g2_i1_Symbiont",18.7488399243492,7.26109237069754,1.12597182137095,6.44873364757621,1.12788580258088e-10,4.91053281298652e-08
"17","Breviolum_Sid-radians_Avila-Medina_DN411311_c0_g1_i1_Symbiont",29.674965079249,4.39179935730382,0.68361730024625,6.42435373669131,1.32430924030739e-10,5.42655186351839e-08
"18","Breviolum_Sid-radians_Avila-Medina_DN338108_c0_g2_i2_Symbiont",15.1460422698298,6.91234684929608,1.07772897957887,6.41380809115583,1.41928854361642e-10,5.48234607417092e-08
"19","Breviolum_Sid-radians_Avila-Medina_DN532987_c0_g1_i1_Symbiont",15.032783369967,6.85033075321938,1.0693865088808,6.40585110839745,1.49532838658122e-10,5.48234607417092e-08
"20","Breviolum_Sid-radians_Avila-Medina_DN388140_c0_g2_i2_Symbiont",15.776113046612,6.98307721655059,1.09574386385565,6.37291017261906,1.85474530182366e-10,6.14761505296682e-08
"21","Breviolum_Sid-radians_Avila-Medina_DN441852_c0_g1_i2_Symbiont",39.5920023548427,3.66555830662745,0.575270844271517,6.37188264124399,1.86721750644977e-10,6.14761505296682e-08
"22","Breviolum_Sid-radians_Avila-Medina_DN438103_c0_g1_i1_Symbiont",15.0337666745524,6.70323794429632,1.05303025196318,6.36566511911636,1.94445263497044e-10,6.14761505296682e-08
"23","Breviolum_Sid-radians_Avila-Medina_DN449349_c1_g10_i5_Symbiont",9.88175125741756,6.61719296049297,1.0414830535207,6.35362518681775,2.10298890394295e-10,6.14761505296682e-08
"24","Breviolum_Sid-radians_Avila-Medina_DN438456_c1_g3_i1_Symbiont",26.1742159794805,7.1871830237834,1.13234015086117,6.34719436409402,2.192770289528e-10,6.14761505296682e-08
"25","Breviolum_Sid-radians_Avila-Medina_DN371561_c0_g1_i2_Symbiont",11.5416284114935,6.75061726570342,1.06548452409491,6.33572530904457,2.36227328603684e-10,6.14761505296682e-08
"26","Breviolum_Sid-radians_Avila-Medina_DN317316_c0_g1_i2_Symbiont",17.6001489490778,6.63681730844672,1.04755663716069,6.33552122435618,2.3654024889892e-10,6.14761505296682e-08
"27","Breviolum_Sid-radians_Avila-Medina_DN404939_c0_g1_i2_Symbiont",10.0889700308683,6.49795196087305,1.02582100874926,6.33439158045292,2.38279653215768e-10,6.14761505296682e-08
"28","Breviolum_Sid-radians_Avila-Medina_DN439728_c1_g10_i3_Symbiont",30.0608476976589,4.37988511801004,0.694146235654064,6.30974410440051,2.7949720786328e-10,6.82008083208764e-08
"29","Breviolum_Sid-radians_Avila-Medina_DN438456_c1_g7_i1_Symbiont",20.4519198274214,7.43113836343649,1.1781785555563,6.30731083025673,2.83925271505228e-10,6.82008083208764e-08
"30","Breviolum_Sid-radians_Avila-Medina_DN428760_c0_g1_i3_Symbiont",19.7155484263839,7.0168760684497,1.1144084792797,6.29650276260016,3.0443585728844e-10,7.06900060623758e-08
"31","Breviolum_Sid-radians_Avila-Medina_DN457454_c0_g1_i1_Symbiont",16.068765666859,6.94300689423998,1.10575294379722,6.27898567504355,3.40788986158148e-10,7.65785831476663e-08
"32","Breviolum_Sid-radians_Avila-Medina_DN150342_c0_g1_i1_Symbiont",13.0258213221363,6.8888812120857,1.10337883272298,6.24344151598858,4.28046404567043e-10,8.91019616967585e-08
"33","Breviolum_Sid-radians_Avila-Medina_DN312479_c0_g2_i1_Symbiont",16.5222886434213,6.91287454338014,1.10747563603712,6.24201049525248,4.31981958822757e-10,8.91019616967585e-08
"34","Breviolum_Sid-radians_Avila-Medina_DN371978_c1_g1_i1_Symbiont",13.7586979505326,6.95563085046672,1.11451295706162,6.24096005918589,4.34893295677547e-10,8.91019616967585e-08
"35","Breviolum_Sid-radians_Avila-Medina_DN415880_c0_g1_i1_Symbiont",14.8435056032393,6.85741668486359,1.1031682633424,6.21611127942245,5.09626686047822e-10,1.01430271285975e-07
"36","Breviolum_Sid-radians_Avila-Medina_DN387394_c0_g1_i1_Symbiont",12.2280439043514,6.55103525924791,1.05601452764156,6.20354653063209,5.52047079207123e-10,1.04837101287901e-07
"37","Breviolum_Sid-radians_Avila-Medina_DN352760_c3_g1_i1_Symbiont",18.6283428417714,6.79836109114941,1.09685171571886,6.19806760906954,5.7160588194433e-10,1.04837101287901e-07
"38","Breviolum_Sid-radians_Avila-Medina_DN840076_c0_g1_i1_Symbiont",14.258883682708,6.76682816069929,1.09177812198662,6.19798842312967,5.71893460944624e-10,1.04837101287901e-07
"39","Breviolum_Sid-radians_Avila-Medina_DN431144_c0_g2_i6_Symbiont",27.0550453913711,4.68357948651082,0.756518505974739,6.19096486010774,5.97970403794575e-10,1.06806713662385e-07
"40","Breviolum_Sid-radians_Avila-Medina_DN764227_c0_g1_i1_Symbiont",19.3076811188525,6.87012505554079,1.11129907652178,6.18206673674503,6.32677667008139e-10,1.09715110045472e-07
"41","Breviolum_Sid-radians_Avila-Medina_DN196877_c0_g1_i2_Symbiont",13.3404961876162,6.61458115535569,1.0705219645842,6.17883740285967,6.45753590563357e-10,1.09715110045472e-07
"42","Breviolum_Sid-radians_Avila-Medina_DN429347_c0_g5_i1_Symbiont",59.1569260751358,5.93670515808494,0.964659180161491,6.15419961803618,7.54575939118288e-10,1.23473307393242e-07
