"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Cladocopium_Davies_comp250033_c0_seq1_Symbiont",62.6398431203495,-21.1762928708562,2.98345124900319,-7.09791818382534,1.26650118896185e-12,5.46368612918144e-09
"2","Cladocopium_Davies_comp249927_c0_seq1_Symbiont",95.9096074139139,-19.972520535872,3.5311126493692,-5.65615501942141,1.54801661510583e-08,3.33907183878327e-05
"3","Cladocopium_Davies_comp173007_c0_seq1_Symbiont",12.6708661879541,-20.7674118496655,3.76531604409859,-5.51544986036816,3.4788891927399e-08,5.00264265915997e-05
"4","Cladocopium_Davies_comp246013_c0_seq1_Symbiont",27.0630469580836,-19.934681120863,3.67853196343293,-5.41919475459967,5.98680724924551e-08,6.45677161831129e-05
"5","Cladocopium_Davies_comp111745_c0_seq2_Symbiont",21.4710681621271,-18.1087799923566,3.46319870033114,-5.2289174140153,1.70505503948567e-07,0.000147112148806823
"6","Cladocopium_Davies_comp231994_c0_seq2_Symbiont",14.2155075441725,-20.6934800549148,4.16140963305908,-4.97270922105857,6.6023654754568e-07,0.000474710077685344
"7","Cladocopium_Davies_comp217202_c0_seq3_Symbiont",9.88220810175253,-20.3221643259469,4.11270405282529,-4.94131453781272,7.75976071816535e-07,0.000478222967688076
"8","Cladocopium_Davies_comp19955_c0_seq1_Symbiont",10.2162726688075,-17.8168843779985,3.75636643574217,-4.7431167014137,2.10454947428357e-06,0.00113487830400742
"9","Cladocopium_Davies_comp242704_c0_seq1_Symbiont",35.0775645505313,-19.2015927513822,4.11836083188595,-4.66243574451175,3.12488669464784e-06,0.00149786235563453
"10","Cladocopium_Davies_comp281456_c0_seq1_Symbiont",13.776089385428,16.9142589502091,3.65189390094208,4.6316402965173,3.62780037594884e-06,0.00156503308218433
"11","Cladocopium_Davies_comp51185_c0_seq1_Symbiont",9.38254285155546,-19.615359729127,4.33721981475505,-4.52256527612373,6.10946364543596e-06,0.00239602056058279
"12","Cladocopium_Davies_comp178370_c0_seq1_Symbiont",10.251630361638,-19.1695682992657,4.26541973714652,-4.49418099051835,6.9838211644886e-06,0.00251068370863365
"13","Cladocopium_Davies_comp279163_c0_seq1_Symbiont",12.2750177755971,-20.453376345123,4.5897041820077,-4.45636048294858,8.33628102147679e-06,0.00276636279435776
"14","Cladocopium_Davies_comp123285_c0_seq1_Symbiont",10.4269200955955,-19.5499365363928,4.5331910181067,-4.3126213870771,1.61330254833881e-05,0.00497127656680974
"15","Cladocopium_Davies_comp182872_c0_seq4_Symbiont",10.4643394942534,-17.3688448513974,4.09635279641754,-4.24007543163454,2.23444686995978e-05,0.00602462737312906
"16","Cladocopium_Davies_comp201694_c0_seq3_Symbiont",34.7258813762435,-19.2758651611898,4.5388179047858,-4.24689105523821,2.16757291510484e-05,0.00602462737312906
"17","Cladocopium_Davies_comp295187_c0_seq1_Symbiont",9.25881984998185,-18.3199681754269,4.41833132294949,-4.14635454798741,3.37810606053043e-05,0.00857244090889899
"18","Cladocopium_Davies_comp281338_c0_seq1_Symbiont",18.4977150624133,-19.3594923729803,4.72953161982139,-4.09332126924472,4.25237883344957e-05,0.0101915346041675
"19","Cladocopium_Davies_comp60937_c0_seq1_Symbiont",9.85041954371493,13.973533881891,3.47853863871024,4.01707019332466,5.89261762619053e-05,0.0133793433891505
"20","Cladocopium_Davies_comp240193_c0_seq1_Symbiont",10.164601261163,-18.0163199280157,4.52930820939507,-3.97772001707562,6.95792315372302e-05,0.0146254420514431
"21","Cladocopium_Davies_comp275839_c0_seq1_Symbiont",23.7019516134011,-19.4209293323624,4.88914192235029,-3.97225722648412,7.11947805007663e-05,0.0146254420514431
"22","Cladocopium_Davies_comp247981_c1_seq1_Symbiont",13.9099451494981,-18.5622898815787,4.7051181628321,-3.94512725062056,7.9757612066761e-05,0.0156397426570912
"23","Cladocopium_Davies_comp226534_c0_seq1_Symbiont",13.2362562708591,-17.627155093061,4.56303324070066,-3.86303455688925,0.000111987158629044,0.0210048957532912
"24","Cladocopium_Davies_comp111374_c0_seq1_Symbiont",26.2422367425985,-18.5299135867976,4.91771914478674,-3.76798939533607,0.000164567691825442,0.0249317181381883
"25","Cladocopium_Davies_comp166916_c0_seq1_Symbiont",9.8823888933021,-18.4758351064349,4.93004909125285,-3.74759657854436,0.000178537101610253,0.0249317181381883
"26","Cladocopium_Davies_comp178232_c0_seq1_Symbiont",10.0661320228977,-18.5730887453345,4.91470573709717,-3.77908459608093,0.000157405946187608,0.0249317181381883
"27","Cladocopium_Davies_comp237806_c0_seq1_Symbiont",25.2104716047463,-20.0451090468166,5.29735052169563,-3.78398766793336,0.000154335473845759,0.0249317181381883
"28","Cladocopium_Davies_comp246223_c0_seq1_Symbiont",24.3976240380954,-19.5631463789655,5.22139648679981,-3.74672684375204,0.000179156991720871,0.0249317181381883
"29","Cladocopium_Davies_comp256989_c0_seq1_Symbiont",14.7498830800223,-18.0986394120617,4.82707244527982,-3.74940289735233,0.000177256113777694,0.0249317181381883
