"","DEG","up.results_LO_LC_padj.1","down.results_LO_LC_padj.1"
"1","Down",NA,"Cladocopium_Davies_comp100592_c0_seq1_Symbiont"
"2","Down",NA,"Cladocopium_Davies_comp100905_c0_seq1_Symbiont"
"3","Down",NA,"Cladocopium_Davies_comp111374_c0_seq1_Symbiont"
"4","Down",NA,"Cladocopium_Davies_comp111745_c0_seq2_Symbiont"
"5","Down",NA,"Cladocopium_Davies_comp113472_c0_seq1_Symbiont"
"6","Down",NA,"Cladocopium_Davies_comp117803_c0_seq1_Symbiont"
"7","Down",NA,"Cladocopium_Davies_comp120880_c0_seq1_Symbiont"
"8","Down",NA,"Cladocopium_Davies_comp123285_c0_seq1_Symbiont"
"9","Down",NA,"Cladocopium_Davies_comp158700_c0_seq1_Symbiont"
"10","Down",NA,"Cladocopium_Davies_comp164783_c0_seq2_Symbiont"
"11","Down",NA,"Cladocopium_Davies_comp165335_c0_seq1_Symbiont"
"12","Down",NA,"Cladocopium_Davies_comp166916_c0_seq1_Symbiont"
"13","Down",NA,"Cladocopium_Davies_comp173007_c0_seq1_Symbiont"
"14","Down",NA,"Cladocopium_Davies_comp178232_c0_seq1_Symbiont"
"15","Down",NA,"Cladocopium_Davies_comp178370_c0_seq1_Symbiont"
"16","Down",NA,"Cladocopium_Davies_comp182872_c0_seq4_Symbiont"
"17","Down",NA,"Cladocopium_Davies_comp19955_c0_seq1_Symbiont"
"18","Down",NA,"Cladocopium_Davies_comp201694_c0_seq3_Symbiont"
"19","Down",NA,"Cladocopium_Davies_comp209971_c0_seq1_Symbiont"
"20","Down",NA,"Cladocopium_Davies_comp2140_c0_seq1_Symbiont"
"21","Down",NA,"Cladocopium_Davies_comp217202_c0_seq3_Symbiont"
"22","Down",NA,"Cladocopium_Davies_comp226534_c0_seq1_Symbiont"
"23","Down",NA,"Cladocopium_Davies_comp227663_c0_seq9_Symbiont"
"24","Down",NA,"Cladocopium_Davies_comp231994_c0_seq2_Symbiont"
"25","Down",NA,"Cladocopium_Davies_comp232576_c0_seq1_Symbiont"
"26","Down",NA,"Cladocopium_Davies_comp232656_c0_seq1_Symbiont"
"27","Down",NA,"Cladocopium_Davies_comp237806_c0_seq1_Symbiont"
"28","Down",NA,"Cladocopium_Davies_comp240193_c0_seq1_Symbiont"
"29","Down",NA,"Cladocopium_Davies_comp242704_c0_seq1_Symbiont"
"30","Down",NA,"Cladocopium_Davies_comp244108_c0_seq4_Symbiont"
"31","Down",NA,"Cladocopium_Davies_comp246013_c0_seq1_Symbiont"
"32","Down",NA,"Cladocopium_Davies_comp246223_c0_seq1_Symbiont"
"33","Down",NA,"Cladocopium_Davies_comp247981_c1_seq1_Symbiont"
"34","Down",NA,"Cladocopium_Davies_comp249927_c0_seq1_Symbiont"
"35","Down",NA,"Cladocopium_Davies_comp250033_c0_seq1_Symbiont"
"36","Down",NA,"Cladocopium_Davies_comp256989_c0_seq1_Symbiont"
"37","Down",NA,"Cladocopium_Davies_comp274552_c0_seq1_Symbiont"
"38","Down",NA,"Cladocopium_Davies_comp275839_c0_seq1_Symbiont"
"39","Down",NA,"Cladocopium_Davies_comp279163_c0_seq1_Symbiont"
"40","Down",NA,"Cladocopium_Davies_comp280048_c0_seq1_Symbiont"
"41","Down",NA,"Cladocopium_Davies_comp280589_c0_seq1_Symbiont"
"42","Down",NA,"Cladocopium_Davies_comp281338_c0_seq1_Symbiont"
"43","Down",NA,"Cladocopium_Davies_comp284718_c0_seq1_Symbiont"
"44","Down",NA,"Cladocopium_Davies_comp293025_c0_seq1_Symbiont"
"45","Down",NA,"Cladocopium_Davies_comp295187_c0_seq1_Symbiont"
"46","Down",NA,"Cladocopium_Davies_comp303922_c0_seq1_Symbiont"
"47","Down",NA,"Cladocopium_Davies_comp311464_c0_seq1_Symbiont"
"48","Down",NA,"Cladocopium_Davies_comp318420_c0_seq1_Symbiont"
"49","Down",NA,"Cladocopium_Davies_comp318972_c0_seq1_Symbiont"
"50","Down",NA,"Cladocopium_Davies_comp36900_c0_seq1_Symbiont"
"51","Down",NA,"Cladocopium_Davies_comp50012_c0_seq1_Symbiont"
"52","Down",NA,"Cladocopium_Davies_comp51168_c0_seq1_Symbiont"
"53","Down",NA,"Cladocopium_Davies_comp51185_c0_seq1_Symbiont"
"54","Down",NA,"Cladocopium_Davies_comp79093_c0_seq1_Symbiont"
"55","Down",NA,"Cladocopium_Davies_comp79933_c0_seq1_Symbiont"
"56","Down",NA,"Cladocopium_Davies_comp90659_c0_seq1_Symbiont"
"57","Down",NA,"Cladocopium_Davies_comp95165_c0_seq1_Symbiont"
"58","Up","Cladocopium_Davies_comp281456_c0_seq1_Symbiont",NA
"59","Up","Cladocopium_Davies_comp288342_c0_seq1_Symbiont",NA
"60","Up","Cladocopium_Davies_comp60937_c0_seq1_Symbiont",NA
