"","DEG","up.results_LO_RO_padj.1","down.results_LO_RO_padj.1"
"1","Down",NA,"Cladocopium_Davies_comp100905_c0_seq1_Symbiont"
"2","Down",NA,"Cladocopium_Davies_comp102614_c0_seq1_Symbiont"
"3","Down",NA,"Cladocopium_Davies_comp104318_c0_seq2_Symbiont"
"4","Down",NA,"Cladocopium_Davies_comp107882_c0_seq1_Symbiont"
"5","Down",NA,"Cladocopium_Davies_comp110657_c0_seq2_Symbiont"
"6","Down",NA,"Cladocopium_Davies_comp111374_c0_seq1_Symbiont"
"7","Down",NA,"Cladocopium_Davies_comp111745_c0_seq2_Symbiont"
"8","Down",NA,"Cladocopium_Davies_comp113472_c0_seq1_Symbiont"
"9","Down",NA,"Cladocopium_Davies_comp117803_c0_seq1_Symbiont"
"10","Down",NA,"Cladocopium_Davies_comp120880_c0_seq1_Symbiont"
"11","Down",NA,"Cladocopium_Davies_comp123285_c0_seq1_Symbiont"
"12","Down",NA,"Cladocopium_Davies_comp153149_c0_seq1_Symbiont"
"13","Down",NA,"Cladocopium_Davies_comp155595_c0_seq1_Symbiont"
"14","Down",NA,"Cladocopium_Davies_comp164783_c0_seq2_Symbiont"
"15","Down",NA,"Cladocopium_Davies_comp165335_c0_seq1_Symbiont"
"16","Down",NA,"Cladocopium_Davies_comp166916_c0_seq1_Symbiont"
"17","Down",NA,"Cladocopium_Davies_comp173007_c0_seq1_Symbiont"
"18","Down",NA,"Cladocopium_Davies_comp174618_c0_seq1_Symbiont"
"19","Down",NA,"Cladocopium_Davies_comp178232_c0_seq1_Symbiont"
"20","Down",NA,"Cladocopium_Davies_comp178370_c0_seq1_Symbiont"
"21","Down",NA,"Cladocopium_Davies_comp181854_c0_seq1_Symbiont"
"22","Down",NA,"Cladocopium_Davies_comp182872_c0_seq4_Symbiont"
"23","Down",NA,"Cladocopium_Davies_comp19955_c0_seq1_Symbiont"
"24","Down",NA,"Cladocopium_Davies_comp201694_c0_seq3_Symbiont"
"25","Down",NA,"Cladocopium_Davies_comp208609_c0_seq1_Symbiont"
"26","Down",NA,"Cladocopium_Davies_comp209971_c0_seq1_Symbiont"
"27","Down",NA,"Cladocopium_Davies_comp211357_c1_seq1_Symbiont"
"28","Down",NA,"Cladocopium_Davies_comp2140_c0_seq1_Symbiont"
"29","Down",NA,"Cladocopium_Davies_comp217202_c0_seq3_Symbiont"
"30","Down",NA,"Cladocopium_Davies_comp226534_c0_seq1_Symbiont"
"31","Down",NA,"Cladocopium_Davies_comp226975_c1_seq1_Symbiont"
"32","Down",NA,"Cladocopium_Davies_comp227663_c0_seq9_Symbiont"
"33","Down",NA,"Cladocopium_Davies_comp230537_c0_seq1_Symbiont"
"34","Down",NA,"Cladocopium_Davies_comp231994_c0_seq2_Symbiont"
"35","Down",NA,"Cladocopium_Davies_comp232381_c0_seq1_Symbiont"
"36","Down",NA,"Cladocopium_Davies_comp232656_c0_seq1_Symbiont"
"37","Down",NA,"Cladocopium_Davies_comp237806_c0_seq1_Symbiont"
"38","Down",NA,"Cladocopium_Davies_comp238489_c0_seq9_Symbiont"
"39","Down",NA,"Cladocopium_Davies_comp240193_c0_seq1_Symbiont"
"40","Down",NA,"Cladocopium_Davies_comp242704_c0_seq1_Symbiont"
