"","DEG","up.results_OC_RC_padj.1","down.results_OC_RC_padj.1"
"1","Down",NA,"Cladocopium_Davies_comp100905_c0_seq1_Symbiont"
"2","Down",NA,"Cladocopium_Davies_comp102614_c0_seq1_Symbiont"
"3","Down",NA,"Cladocopium_Davies_comp102813_c0_seq1_Symbiont"
"4","Down",NA,"Cladocopium_Davies_comp104318_c0_seq2_Symbiont"
"5","Down",NA,"Cladocopium_Davies_comp110657_c0_seq2_Symbiont"
"6","Down",NA,"Cladocopium_Davies_comp111068_c0_seq1_Symbiont"
"7","Down",NA,"Cladocopium_Davies_comp111090_c0_seq2_Symbiont"
"8","Down",NA,"Cladocopium_Davies_comp111264_c0_seq1_Symbiont"
"9","Down",NA,"Cladocopium_Davies_comp111274_c0_seq1_Symbiont"
"10","Down",NA,"Cladocopium_Davies_comp111381_c0_seq1_Symbiont"
"11","Down",NA,"Cladocopium_Davies_comp111786_c0_seq1_Symbiont"
"12","Down",NA,"Cladocopium_Davies_comp112387_c0_seq1_Symbiont"
"13","Down",NA,"Cladocopium_Davies_comp112410_c0_seq1_Symbiont"
"14","Down",NA,"Cladocopium_Davies_comp113002_c0_seq1_Symbiont"
"15","Down",NA,"Cladocopium_Davies_comp113365_c0_seq2_Symbiont"
"16","Down",NA,"Cladocopium_Davies_comp113472_c0_seq1_Symbiont"
"17","Down",NA,"Cladocopium_Davies_comp113496_c0_seq1_Symbiont"
"18","Down",NA,"Cladocopium_Davies_comp113497_c0_seq1_Symbiont"
"19","Down",NA,"Cladocopium_Davies_comp113505_c0_seq1_Symbiont"
"20","Down",NA,"Cladocopium_Davies_comp113506_c0_seq1_Symbiont"
"21","Down",NA,"Cladocopium_Davies_comp113517_c0_seq1_Symbiont"
"22","Down",NA,"Cladocopium_Davies_comp113524_c0_seq1_Symbiont"
"23","Down",NA,"Cladocopium_Davies_comp113530_c0_seq1_Symbiont"
"24","Down",NA,"Cladocopium_Davies_comp113541_c0_seq1_Symbiont"
"25","Down",NA,"Cladocopium_Davies_comp113543_c0_seq1_Symbiont"
"26","Down",NA,"Cladocopium_Davies_comp113544_c0_seq1_Symbiont"
"27","Down",NA,"Cladocopium_Davies_comp113556_c0_seq1_Symbiont"
"28","Down",NA,"Cladocopium_Davies_comp113572_c0_seq1_Symbiont"
"29","Down",NA,"Cladocopium_Davies_comp113581_c0_seq1_Symbiont"
"30","Down",NA,"Cladocopium_Davies_comp113598_c0_seq1_Symbiont"
"31","Down",NA,"Cladocopium_Davies_comp113604_c0_seq1_Symbiont"
"32","Down",NA,"Cladocopium_Davies_comp113605_c0_seq1_Symbiont"
"33","Down",NA,"Cladocopium_Davies_comp113612_c0_seq1_Symbiont"
"34","Down",NA,"Cladocopium_Davies_comp113619_c0_seq2_Symbiont"
"35","Down",NA,"Cladocopium_Davies_comp113620_c0_seq1_Symbiont"
"36","Down",NA,"Cladocopium_Davies_comp113621_c0_seq1_Symbiont"
"37","Down",NA,"Cladocopium_Davies_comp113646_c0_seq1_Symbiont"
"38","Down",NA,"Cladocopium_Davies_comp113649_c0_seq1_Symbiont"
"39","Down",NA,"Cladocopium_Davies_comp113651_c0_seq1_Symbiont"
"40","Down",NA,"Cladocopium_Davies_comp113664_c0_seq2_Symbiont"
