"","DEG","up.results_OO_LC_padj.1","down.results_OO_LC_padj.1"
"1","Down",NA,"Cladocopium_Davies_comp173007_c0_seq1_Symbiont"
"2","Down",NA,"Cladocopium_Davies_comp211666_c1_seq5_Symbiont"
"3","Down",NA,"Cladocopium_Davies_comp232576_c0_seq1_Symbiont"
"4","Down",NA,"Cladocopium_Davies_comp237806_c0_seq1_Symbiont"
"5","Down",NA,"Cladocopium_Davies_comp246223_c0_seq1_Symbiont"
"6","Down",NA,"Cladocopium_Davies_comp279163_c0_seq1_Symbiont"
"7","Down",NA,"Cladocopium_Davies_comp311464_c0_seq1_Symbiont"
"8","Down",NA,"Cladocopium_Davies_comp51168_c0_seq1_Symbiont"
"9","Down",NA,"Cladocopium_Davies_comp51185_c0_seq1_Symbiont"
"10","Up","Cladocopium_Davies_comp104318_c0_seq2_Symbiont",NA
"11","Up","Cladocopium_Davies_comp181854_c0_seq1_Symbiont",NA
"12","Up","Cladocopium_Davies_comp211192_c0_seq1_Symbiont",NA
"13","Up","Cladocopium_Davies_comp252450_c0_seq1_Symbiont",NA
"14","Up","Cladocopium_Davies_comp278471_c0_seq1_Symbiont",NA
"15","Up","Cladocopium_Davies_comp279609_c0_seq1_Symbiont",NA
"16","Up","Cladocopium_Davies_comp279823_c0_seq1_Symbiont",NA
"17","Up","Cladocopium_Davies_comp281456_c0_seq1_Symbiont",NA
"18","Up","Cladocopium_Davies_comp288342_c0_seq1_Symbiont",NA
"19","Up","Cladocopium_Davies_comp31234_c0_seq1_Symbiont",NA
"20","Up","Cladocopium_Davies_comp37036_c0_seq1_Symbiont",NA
"21","Up","Cladocopium_Davies_comp60937_c0_seq1_Symbiont",NA
