"","DEG","up.results_OO_LO_padj.1","down.results_OO_LO_padj.1"
"1","Down",NA,"Cladocopium_Davies_comp116241_c0_seq2_Symbiont"
"2","Down",NA,"Cladocopium_Davies_comp195568_c0_seq1_Symbiont"
"3","Down",NA,"Cladocopium_Davies_comp211666_c1_seq5_Symbiont"
"4","Down",NA,"Cladocopium_Davies_comp221319_c0_seq2_Symbiont"
"5","Down",NA,"Cladocopium_Davies_comp244486_c1_seq2_Symbiont"
"6","Down",NA,"Cladocopium_Davies_comp25043_c0_seq1_Symbiont"
"7","Down",NA,"Cladocopium_Davies_comp287295_c0_seq1_Symbiont"
"8","Down",NA,"Cladocopium_Davies_comp29115_c0_seq1_Symbiont"
"9","Down",NA,"Cladocopium_Davies_comp58360_c0_seq1_Symbiont"
"10","Up","Cladocopium_Davies_comp100905_c0_seq1_Symbiont",NA
"11","Up","Cladocopium_Davies_comp104318_c0_seq2_Symbiont",NA
"12","Up","Cladocopium_Davies_comp111374_c0_seq1_Symbiont",NA
"13","Up","Cladocopium_Davies_comp111745_c0_seq2_Symbiont",NA
"14","Up","Cladocopium_Davies_comp113472_c0_seq1_Symbiont",NA
"15","Up","Cladocopium_Davies_comp117803_c0_seq1_Symbiont",NA
"16","Up","Cladocopium_Davies_comp120880_c0_seq1_Symbiont",NA
"17","Up","Cladocopium_Davies_comp123285_c0_seq1_Symbiont",NA
"18","Up","Cladocopium_Davies_comp153149_c0_seq1_Symbiont",NA
"19","Up","Cladocopium_Davies_comp158700_c0_seq1_Symbiont",NA
"20","Up","Cladocopium_Davies_comp164783_c0_seq2_Symbiont",NA
"21","Up","Cladocopium_Davies_comp165335_c0_seq1_Symbiont",NA
"22","Up","Cladocopium_Davies_comp166916_c0_seq1_Symbiont",NA
"23","Up","Cladocopium_Davies_comp178370_c0_seq1_Symbiont",NA
"24","Up","Cladocopium_Davies_comp181854_c0_seq1_Symbiont",NA
"25","Up","Cladocopium_Davies_comp182872_c0_seq4_Symbiont",NA
"26","Up","Cladocopium_Davies_comp19955_c0_seq1_Symbiont",NA
"27","Up","Cladocopium_Davies_comp201694_c0_seq3_Symbiont",NA
"28","Up","Cladocopium_Davies_comp209971_c0_seq1_Symbiont",NA
"29","Up","Cladocopium_Davies_comp211192_c0_seq1_Symbiont",NA
"30","Up","Cladocopium_Davies_comp2140_c0_seq1_Symbiont",NA
"31","Up","Cladocopium_Davies_comp217202_c0_seq3_Symbiont",NA
"32","Up","Cladocopium_Davies_comp226534_c0_seq1_Symbiont",NA
"33","Up","Cladocopium_Davies_comp227663_c0_seq9_Symbiont",NA
"34","Up","Cladocopium_Davies_comp231994_c0_seq2_Symbiont",NA
"35","Up","Cladocopium_Davies_comp232656_c0_seq1_Symbiont",NA
"36","Up","Cladocopium_Davies_comp238489_c0_seq9_Symbiont",NA
"37","Up","Cladocopium_Davies_comp240193_c0_seq1_Symbiont",NA
"38","Up","Cladocopium_Davies_comp242704_c0_seq1_Symbiont",NA
"39","Up","Cladocopium_Davies_comp244108_c0_seq4_Symbiont",NA
"40","Up","Cladocopium_Davies_comp245808_c1_seq4_Symbiont",NA
"41","Up","Cladocopium_Davies_comp246013_c0_seq1_Symbiont",NA
"42","Up","Cladocopium_Davies_comp247981_c1_seq1_Symbiont",NA
"43","Up","Cladocopium_Davies_comp249927_c0_seq1_Symbiont",NA
"44","Up","Cladocopium_Davies_comp250033_c0_seq1_Symbiont",NA
"45","Up","Cladocopium_Davies_comp252450_c0_seq1_Symbiont",NA
"46","Up","Cladocopium_Davies_comp25392_c0_seq1_Symbiont",NA
"47","Up","Cladocopium_Davies_comp256989_c0_seq1_Symbiont",NA
"48","Up","Cladocopium_Davies_comp275839_c0_seq1_Symbiont",NA
"49","Up","Cladocopium_Davies_comp278212_c0_seq1_Symbiont",NA
"50","Up","Cladocopium_Davies_comp278471_c0_seq1_Symbiont",NA
"51","Up","Cladocopium_Davies_comp279609_c0_seq1_Symbiont",NA
"52","Up","Cladocopium_Davies_comp279823_c0_seq1_Symbiont",NA
"53","Up","Cladocopium_Davies_comp280048_c0_seq1_Symbiont",NA
"54","Up","Cladocopium_Davies_comp280589_c0_seq1_Symbiont",NA
"55","Up","Cladocopium_Davies_comp281338_c0_seq1_Symbiont",NA
"56","Up","Cladocopium_Davies_comp281580_c0_seq1_Symbiont",NA
"57","Up","Cladocopium_Davies_comp283598_c0_seq1_Symbiont",NA
"58","Up","Cladocopium_Davies_comp284432_c0_seq1_Symbiont",NA
"59","Up","Cladocopium_Davies_comp284718_c0_seq1_Symbiont",NA
"60","Up","Cladocopium_Davies_comp288783_c0_seq1_Symbiont",NA
"61","Up","Cladocopium_Davies_comp289284_c0_seq1_Symbiont",NA
"62","Up","Cladocopium_Davies_comp293025_c0_seq1_Symbiont",NA
"63","Up","Cladocopium_Davies_comp295187_c0_seq1_Symbiont",NA
"64","Up","Cladocopium_Davies_comp303922_c0_seq1_Symbiont",NA
"65","Up","Cladocopium_Davies_comp31234_c0_seq1_Symbiont",NA
"66","Up","Cladocopium_Davies_comp318420_c0_seq1_Symbiont",NA
"67","Up","Cladocopium_Davies_comp36900_c0_seq1_Symbiont",NA
"68","Up","Cladocopium_Davies_comp50012_c0_seq1_Symbiont",NA
"69","Up","Cladocopium_Davies_comp57705_c0_seq2_Symbiont",NA
"70","Up","Cladocopium_Davies_comp79093_c0_seq1_Symbiont",NA
"71","Up","Cladocopium_Davies_comp90659_c0_seq1_Symbiont",NA
"72","Up","Cladocopium_Davies_comp95165_c0_seq1_Symbiont",NA
