"","DEG","up.results_OO_OC_padj.1","down.results_OO_OC_padj.1"
"1","Down",NA,"Cladocopium_Davies_comp107882_c0_seq1_Symbiont"
"2","Down",NA,"Cladocopium_Davies_comp195365_c0_seq1_Symbiont"
"3","Down",NA,"Cladocopium_Davies_comp211666_c1_seq5_Symbiont"
"4","Down",NA,"Cladocopium_Davies_comp218792_c0_seq1_Symbiont"
"5","Down",NA,"Cladocopium_Davies_comp258254_c0_seq1_Symbiont"
"6","Down",NA,"Cladocopium_Davies_comp266383_c0_seq1_Symbiont"
"7","Down",NA,"Cladocopium_Davies_comp279163_c0_seq1_Symbiont"
"8","Down",NA,"Cladocopium_Davies_comp279422_c0_seq1_Symbiont"
"9","Down",NA,"Cladocopium_Davies_comp51168_c0_seq1_Symbiont"
"10","Up","Cladocopium_Davies_comp104318_c0_seq2_Symbiont",NA
"11","Up","Cladocopium_Davies_comp116780_c0_seq1_Symbiont",NA
"12","Up","Cladocopium_Davies_comp123285_c0_seq1_Symbiont",NA
"13","Up","Cladocopium_Davies_comp153149_c0_seq1_Symbiont",NA
"14","Up","Cladocopium_Davies_comp211192_c0_seq1_Symbiont",NA
"15","Up","Cladocopium_Davies_comp217202_c0_seq3_Symbiont",NA
"16","Up","Cladocopium_Davies_comp228977_c0_seq3_Symbiont",NA
"17","Up","Cladocopium_Davies_comp231994_c0_seq2_Symbiont",NA
"18","Up","Cladocopium_Davies_comp238489_c0_seq9_Symbiont",NA
"19","Up","Cladocopium_Davies_comp238832_c0_seq1_Symbiont",NA
"20","Up","Cladocopium_Davies_comp240442_c0_seq3_Symbiont",NA
"21","Up","Cladocopium_Davies_comp242704_c0_seq1_Symbiont",NA
"22","Up","Cladocopium_Davies_comp275839_c0_seq1_Symbiont",NA
"23","Up","Cladocopium_Davies_comp278212_c0_seq1_Symbiont",NA
"24","Up","Cladocopium_Davies_comp278471_c0_seq1_Symbiont",NA
"25","Up","Cladocopium_Davies_comp279026_c0_seq1_Symbiont",NA
"26","Up","Cladocopium_Davies_comp279609_c0_seq1_Symbiont",NA
"27","Up","Cladocopium_Davies_comp279823_c0_seq1_Symbiont",NA
"28","Up","Cladocopium_Davies_comp280001_c0_seq1_Symbiont",NA
"29","Up","Cladocopium_Davies_comp281338_c0_seq1_Symbiont",NA
"30","Up","Cladocopium_Davies_comp281580_c0_seq1_Symbiont",NA
"31","Up","Cladocopium_Davies_comp283598_c0_seq1_Symbiont",NA
"32","Up","Cladocopium_Davies_comp284440_c0_seq1_Symbiont",NA
"33","Up","Cladocopium_Davies_comp288342_c0_seq1_Symbiont",NA
"34","Up","Cladocopium_Davies_comp288783_c0_seq1_Symbiont",NA
"35","Up","Cladocopium_Davies_comp295187_c0_seq1_Symbiont",NA
"36","Up","Cladocopium_Davies_comp299326_c0_seq1_Symbiont",NA
"37","Up","Cladocopium_Davies_comp31234_c0_seq1_Symbiont",NA
"38","Up","Cladocopium_Davies_comp315639_c0_seq1_Symbiont",NA
"39","Up","Cladocopium_Davies_comp37036_c0_seq1_Symbiont",NA
"40","Up","Cladocopium_Davies_comp60937_c0_seq1_Symbiont",NA
"41","Up","Cladocopium_Davies_comp71993_c0_seq1_Symbiont",NA
"42","Up","Cladocopium_Davies_comp78661_c0_seq1_Symbiont",NA
