"","DEG","up.results_OO_RO_padj.1","down.results_OO_RO_padj.1"
"1","Down",NA,"Cladocopium_Davies_comp102614_c0_seq1_Symbiont"
"2","Down",NA,"Cladocopium_Davies_comp102813_c0_seq1_Symbiont"
"3","Down",NA,"Cladocopium_Davies_comp107882_c0_seq1_Symbiont"
"4","Down",NA,"Cladocopium_Davies_comp110657_c0_seq2_Symbiont"
"5","Down",NA,"Cladocopium_Davies_comp113501_c0_seq1_Symbiont"
"6","Down",NA,"Cladocopium_Davies_comp113507_c0_seq1_Symbiont"
"7","Down",NA,"Cladocopium_Davies_comp113528_c0_seq1_Symbiont"
"8","Down",NA,"Cladocopium_Davies_comp113541_c0_seq1_Symbiont"
"9","Down",NA,"Cladocopium_Davies_comp113543_c0_seq1_Symbiont"
"10","Down",NA,"Cladocopium_Davies_comp113548_c0_seq1_Symbiont"
"11","Down",NA,"Cladocopium_Davies_comp113575_c0_seq1_Symbiont"
"12","Down",NA,"Cladocopium_Davies_comp113604_c0_seq1_Symbiont"
"13","Down",NA,"Cladocopium_Davies_comp113619_c0_seq2_Symbiont"
"14","Down",NA,"Cladocopium_Davies_comp113686_c0_seq1_Symbiont"
"15","Down",NA,"Cladocopium_Davies_comp113689_c0_seq1_Symbiont"
"16","Down",NA,"Cladocopium_Davies_comp113701_c0_seq1_Symbiont"
"17","Down",NA,"Cladocopium_Davies_comp113703_c0_seq1_Symbiont"
"18","Down",NA,"Cladocopium_Davies_comp113768_c0_seq1_Symbiont"
"19","Down",NA,"Cladocopium_Davies_comp113783_c0_seq1_Symbiont"
"20","Down",NA,"Cladocopium_Davies_comp113789_c0_seq1_Symbiont"
"21","Down",NA,"Cladocopium_Davies_comp113836_c0_seq2_Symbiont"
"22","Down",NA,"Cladocopium_Davies_comp113860_c0_seq1_Symbiont"
"23","Down",NA,"Cladocopium_Davies_comp113864_c0_seq1_Symbiont"
"24","Down",NA,"Cladocopium_Davies_comp113865_c0_seq1_Symbiont"
"25","Down",NA,"Cladocopium_Davies_comp113870_c0_seq1_Symbiont"
"26","Down",NA,"Cladocopium_Davies_comp113893_c0_seq1_Symbiont"
"27","Down",NA,"Cladocopium_Davies_comp113896_c0_seq1_Symbiont"
"28","Down",NA,"Cladocopium_Davies_comp113930_c0_seq2_Symbiont"
"29","Down",NA,"Cladocopium_Davies_comp113931_c0_seq1_Symbiont"
"30","Down",NA,"Cladocopium_Davies_comp113934_c0_seq1_Symbiont"
"31","Down",NA,"Cladocopium_Davies_comp113945_c0_seq2_Symbiont"
"32","Down",NA,"Cladocopium_Davies_comp113951_c0_seq1_Symbiont"
"33","Down",NA,"Cladocopium_Davies_comp113959_c0_seq1_Symbiont"
"34","Down",NA,"Cladocopium_Davies_comp113972_c0_seq1_Symbiont"
"35","Down",NA,"Cladocopium_Davies_comp113988_c0_seq1_Symbiont"
"36","Down",NA,"Cladocopium_Davies_comp114011_c1_seq1_Symbiont"
"37","Down",NA,"Cladocopium_Davies_comp114049_c0_seq1_Symbiont"
"38","Down",NA,"Cladocopium_Davies_comp114061_c0_seq1_Symbiont"
"39","Down",NA,"Cladocopium_Davies_comp114062_c0_seq1_Symbiont"
"40","Down",NA,"Cladocopium_Davies_comp114082_c0_seq1_Symbiont"
"41","Down",NA,"Cladocopium_Davies_comp114111_c0_seq2_Symbiont"
"42","Down",NA,"Cladocopium_Davies_comp114120_c0_seq1_Symbiont"
