"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Cladocopium_Davies_comp252450_c0_seq1_Symbiont",25.8821720115427,-41.4332463908795,2.97144910623934,-13.9437846348704,3.43245296515814e-44,3.71322761770808e-40
"2","Cladocopium_Davies_comp250033_c0_seq1_Symbiont",62.6398431203495,-24.3752546774338,2.89573113649017,-8.41765120051107,3.84107371933741e-17,2.0776367747896e-13
"3","Cladocopium_Davies_comp181854_c0_seq1_Symbiont",18.3888941290362,-43.362740664205,5.4468107494988,-7.96112489647177,1.70482192356091e-15,6.14758785636065e-12
"4","Cladocopium_Davies_comp249927_c0_seq1_Symbiont",95.9096074139139,-25.4508354005753,3.411370212932,-7.46059026490146,8.61357216984342e-14,2.32954059333415e-10
"5","Cladocopium_Davies_comp111745_c0_seq2_Symbiont",21.4710681621271,-23.4945282568762,3.29143673574166,-7.13807681665258,9.46457387625625e-13,2.0477552038668e-09
"6","Cladocopium_Davies_comp173007_c0_seq1_Symbiont",12.6708661879541,-25.3677568389215,3.59233238684924,-7.06163965555844,1.64549250015338e-12,2.96682297777654e-09
"7","Cladocopium_Davies_comp243513_c0_seq2_Symbiont",102.309847642757,10.0700062340769,1.45727771605079,6.91014905612259,4.84144727366835e-12,7.48211094379203e-09
"8","Cladocopium_Davies_comp432143_c0_seq1_Symbiont",49.4126869514663,9.59488703457703,1.39452754526507,6.88038545180065,5.96908271321739e-12,8.07169209894822e-09
"9","Cladocopium_Davies_comp246013_c0_seq1_Symbiont",27.0630469580836,-23.9849866745094,3.55653145477349,-6.7439264855418,1.54162563140911e-11,1.85303400895375e-08
"10","Cladocopium_Davies_comp171289_c0_seq1_Symbiont",29.6369233675746,8.95006961266558,1.33861054477546,6.6860892793631,2.29213222229291e-11,2.47962863807647e-08
"11","Cladocopium_Davies_comp242704_c0_seq1_Symbiont",35.0775645505313,-26.1450006126646,3.93661693423696,-6.64148964693014,3.10528568037137e-11,3.05390731729613e-08
"12","Cladocopium_Davies_comp289284_c0_seq1_Symbiont",8.84574502693655,-36.0500242127975,5.44817594948139,-6.6168979392505,3.66814554485335e-11,3.30683320868529e-08
"13","Cladocopium_Davies_comp283598_c0_seq1_Symbiont",12.603958318266,-35.9467984424013,5.44709746888774,-6.59925742979984,4.13222250983447e-11,3.42218907612682e-08
"14","Cladocopium_Davies_comp157357_c0_seq1_Symbiont",30.8457441367723,8.0567733656891,1.22276616205241,6.58897311335948,4.42878970842813e-11,3.42218907612682e-08
"15","Cladocopium_Davies_comp128023_c0_seq1_Symbiont",27.5410145956173,8.85004150518895,1.35280191953547,6.54200838821098,6.06980974607115e-11,4.37754678886651e-08
"16","Cladocopium_Davies_comp312714_c0_seq1_Symbiont",21.093740952849,8.88642425161406,1.36211855583564,6.52397268471421,6.84691838361722e-11,4.62937269212319e-08
"17","Cladocopium_Davies_comp279609_c0_seq1_Symbiont",11.2013821208857,-35.4299609885734,5.44720438967272,-6.50424666563725,7.80836826317468e-11,4.96887811006022e-08
"18","Cladocopium_Davies_comp104318_c0_seq2_Symbiont",15.8812835759075,-35.1776139039591,5.44737632785402,-6.45771685060306,1.06294379498491e-10,6.3882922078593e-08
"19","Cladocopium_Davies_comp174618_c0_seq1_Symbiont",11.5705739808929,-34.9102528141612,5.44705249071019,-6.40901714710841,1.46460723345144e-10,8.33901107972512e-08
"20","Cladocopium_Davies_comp278212_c0_seq1_Symbiont",7.59626197599886,-34.3680533177341,5.44819674000458,-6.30815202861143,2.82386768384929e-10,1.52743003019408e-07
"21","Cladocopium_Davies_comp19955_c0_seq1_Symbiont",10.2162726688075,-22.5362277209073,3.58160672726466,-6.29221169073429,3.12974262259454e-10,1.55154418276737e-07
"22","Cladocopium_Davies_comp279823_c0_seq1_Symbiont",8.69627431681823,-34.2785095746829,5.44886078968062,-6.29094977790616,3.15529414132761e-10,1.55154418276737e-07
"23","Cladocopium_Davies_comp288783_c0_seq1_Symbiont",6.62751839002823,-34.1142422405158,5.44880332369836,-6.26086871077608,3.82838743913827e-10,1.8006737094173e-07
"24","Cladocopium_Davies_comp238489_c0_seq9_Symbiont",10.5834540412598,-34.0187324977642,5.44750371095205,-6.24482961422689,4.24262343864458e-10,1.91236251496905e-07
"25","Cladocopium_Davies_comp313572_c0_seq1_Symbiont",13.8938390673638,7.60867089029686,1.22646713382083,6.2037299496102,5.5140373244712e-10,2.38603423104518e-07
"26","Cladocopium_Davies_comp131369_c0_seq1_Symbiont",19.4986802336437,8.51645408104967,1.37608720853598,6.18889124775044,6.0588864174307e-10,2.52096281783713e-07
