"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Cladocopium_Davies_comp60937_c0_seq1_Symbiont",9.85041954371493,-36.4164471860968,3.56192330820685,-10.2238156285374,1.55112387488997e-24,1.67800580785597e-20
"2","Cladocopium_Davies_comp288342_c0_seq1_Symbiont",7.05654533482406,-37.5617802522388,3.99664894318924,-9.39831863798008,5.54419064743845e-21,2.99885272119946e-17
"3","Cladocopium_Davies_comp187881_c0_seq1_Symbiont",16.4249310112052,6.22282400723658,0.908445054099749,6.84997290607,7.38639767163951e-12,2.66353500039321e-08
"4","Cladocopium_Davies_comp171289_c0_seq1_Symbiont",29.6369233675746,9.05710690398818,1.33430020932272,6.78790787913128,1.13771253884196e-11,3.07694356129807e-08
"5","Cladocopium_Davies_comp313572_c0_seq1_Symbiont",13.8938390673638,8.28930162152484,1.23012972158599,6.73855893087242,1.59965178501079e-11,3.46100660204935e-08
"6","Cladocopium_Davies_comp157357_c0_seq1_Symbiont",30.8457441367723,8.21717550000989,1.22850045769136,6.68878505381423,2.25030967890432e-11,4.05730835106448e-08
"7","Cladocopium_Davies_comp315639_c0_seq1_Symbiont",7.67311039706921,-38.5767387789742,5.8117584687812,-6.63770509153047,3.18604490445328e-11,4.9238048251965e-08
"8","Cladocopium_Davies_comp432143_c0_seq1_Symbiont",49.4126869514663,8.84579894755618,1.36202890479755,6.49457505372912,8.32681102630756e-11,1.12599302103244e-07
"9","Cladocopium_Davies_comp128023_c0_seq1_Symbiont",27.5410145956173,8.5570641769702,1.33188764747298,6.42476427587997,1.32074019992743e-10,1.58752972031277e-07
"10","Cladocopium_Davies_comp78661_c0_seq1_Symbiont",12.6843985752484,-20.4080736813447,3.2356373375056,-6.30728093188514,2.83980104265862e-10,3.0720967679481e-07
"11","Cladocopium_Davies_comp37036_c0_seq1_Symbiont",10.9858756534686,-32.1080162264529,5.1499347223794,-6.2346452833519,4.52802927284027e-10,3.89953572639787e-07
"12","Cladocopium_Davies_comp246920_c0_seq3_Symbiont",13.2625800125197,8.38790606710962,1.34586838090652,6.23233756443543,4.59525929232437e-10,3.89953572639787e-07
"13","Cladocopium_Davies_comp371564_c0_seq1_Symbiont",15.4124366070524,8.37659425799213,1.34471479805189,6.22927201375895,4.68607547080536e-10,3.89953572639787e-07
"14","Cladocopium_Davies_comp182630_c0_seq1_Symbiont",16.2924580082814,8.46906368665173,1.37387886002429,6.16434529497162,7.07753526137406e-10,5.11268878135558e-07
"15","Cladocopium_Davies_comp388620_c0_seq1_Symbiont",13.7678245458379,7.52139552234917,1.22019639819465,6.16408598933538,7.08914140509647e-10,5.11268878135558e-07
"16","Cladocopium_Davies_comp312714_c0_seq1_Symbiont",21.093740952849,8.42875232993008,1.37662211867329,6.12277851386932,9.19574815917498e-10,6.21747522412218e-07
"17","Cladocopium_Davies_comp243513_c0_seq2_Symbiont",102.309847642757,8.32778164951769,1.3775894520927,6.0451839529309,1.49239627241451e-09,9.49690757351772e-07
"18","Cladocopium_Davies_comp238832_c0_seq1_Symbiont",39.2438275540932,-22.3393795329452,3.76342687550187,-5.93591433338695,2.92212359231413e-09,1.75619627898079e-06
"19","Cladocopium_Davies_comp322438_c0_seq1_Symbiont",10.5143492973506,8.22976659827413,1.41436156838503,5.81871480548723,5.93018156108034e-09,3.37645811198774e-06
"20","Cladocopium_Davies_comp365830_c0_seq1_Symbiont",11.5706029979793,7.4951371589384,1.29204691048516,5.80097912708449,6.59288075758786e-09,3.56608920177928e-06
"21","Cladocopium_Davies_comp359889_c0_seq1_Symbiont",11.7701418295876,8.06030924640595,1.3921986027221,5.78962601359174,7.05433161380756e-09,3.63398854277001e-06
"22","Cladocopium_Davies_comp322575_c0_seq1_Symbiont",9.88639261795066,7.20822270587177,1.25249177772524,5.75510580912815,8.65875436257351e-09,4.25774566792365e-06
"23","Cladocopium_Davies_comp126024_c0_seq1_Symbiont",14.0220324275397,7.78993698931401,1.36794886675678,5.69461123775986,1.23653346394465e-08,5.8160082665014e-06
"24","Cladocopium_Davies_comp450844_c0_seq1_Symbiont",10.7544783941434,8.32648235724984,1.47102780898822,5.66031607721736,1.51094445351229e-08,6.54869197880012e-06
"25","Cladocopium_Davies_comp406116_c0_seq1_Symbiont",14.1325022352594,7.78415398680906,1.3752825446464,5.66003983480387,1.51337862331303e-08,6.54869197880012e-06
"26","Cladocopium_Davies_comp234674_c0_seq1_Symbiont",11.2670627625037,7.05720234937605,1.26821882395954,5.56465667915462,2.62669033028696e-08,1.06236980741435e-05
"27","Cladocopium_Davies_comp284440_c0_seq1_Symbiont",13.6995284320364,-20.9510544841429,3.76613188259431,-5.56301668058174,2.65150534296428e-08,1.06236980741435e-05
"28","Cladocopium_Davies_comp325499_c0_seq1_Symbiont",10.2798565994329,7.68005692614526,1.38276610076235,5.55412583654679,2.79004444760903e-08,1.07795360122266e-05
"29","Cladocopium_Davies_comp427414_c0_seq1_Symbiont",10.7058057943965,7.50572912656569,1.35399739618014,5.54338519980959,2.96679210410589e-08,1.1067157580075e-05
"30","Cladocopium_Davies_comp104318_c0_seq2_Symbiont",15.8812835759075,-32.1076334524385,5.81106123779633,-5.52526158967381,3.28995051813679e-08,1.16651970000812e-05
"31","Cladocopium_Davies_comp334033_c0_seq1_Symbiont",11.8153501096936,5.56229274530797,1.00721203001947,5.52246456508312,3.34277229619631e-08,1.16651970000812e-05
"32","Cladocopium_Davies_comp367532_c0_seq1_Symbiont",13.197979027654,8.04637276070703,1.45852177436749,5.51679988747269,3.4522815237163e-08,1.16708692261134e-05
"33","Cladocopium_Davies_comp133748_c0_seq1_Symbiont",15.1721479534834,7.64683203755548,1.38968950497768,5.50254715903483,3.74343048956937e-08,1.22716457685338e-05
"34","Cladocopium_Davies_comp437810_c0_seq1_Symbiont",11.8103292346832,7.62555155150588,1.39144559432099,5.48030881166221,4.24584102587344e-08,1.33788183950189e-05
"35","Cladocopium_Davies_comp49041_c0_seq1_Symbiont",15.8747081895711,7.55107450991333,1.37871423631965,5.47689601731409,4.32851399358162e-08,1.33788183950189e-05
"36","Cladocopium_Davies_comp283598_c0_seq1_Symbiont",12.603958318266,-31.7984683115666,5.81132619491856,-5.4718092299433,4.454642182957e-08,1.33861997597858e-05
"37","Cladocopium_Davies_comp341022_c0_seq1_Symbiont",6.65472510703637,7.5742026993995,1.38657053844429,5.46254408946093,4.69358910176353e-08,1.37230397034805e-05
"38","Cladocopium_Davies_comp332903_c0_seq1_Symbiont",9.83883949737207,7.33708630126084,1.35254909597943,5.42463583989,5.80728121801443e-08,1.65324126885474e-05
"39","Cladocopium_Davies_comp335097_c0_seq1_Symbiont",10.8647739887403,7.72732814669697,1.42625713493991,5.4179067416357,6.03008531489071e-08,1.67265289580738e-05
"40","Cladocopium_Davies_comp279823_c0_seq1_Symbiont",8.69627431681823,-31.3129096681766,5.81141206453571,-5.38817576871969,7.11764260649364e-08,1.88842653249519e-05
"41","Cladocopium_Davies_comp404090_c0_seq1_Symbiont",17.9221112306957,7.27401000809172,1.35024398857146,5.38718192390366,7.15709815421544e-08,1.88842653249519e-05
"42","Cladocopium_Davies_comp261931_c0_seq3_Symbiont",138.637168745576,-6.02600507816075,1.12019153980488,-5.37944169727473,7.47171866314128e-08,1.9245012499491e-05
"43","Cladocopium_Davies_comp279609_c0_seq1_Symbiont",11.2013821208857,-31.2103854464152,5.8115155456838,-5.37043826194272,7.85455206236107e-08,1.97605916768889e-05
"44","Cladocopium_Davies_comp279026_c0_seq1_Symbiont",22.1512590780276,-21.2028143627027,3.96356649074341,-5.34942820114665,8.82325560121855e-08,2.16931770668142e-05
"45","Cladocopium_Davies_comp371955_c0_seq1_Symbiont",18.2333993826685,6.80670540060612,1.2742589156946,5.34169729304644,9.20803256497281e-08,2.21361102861946e-05
"46","Cladocopium_Davies_comp160953_c0_seq1_Symbiont",25.5672265417755,7.1136733728198,1.33518855303882,5.32784179180494,9.9386634221533e-08,2.33731436740988e-05
"47","Cladocopium_Davies_comp441313_c0_seq1_Symbiont",9.59678294937134,7.61432670395661,1.431115566913,5.320553336151,1.03452113189775e-07,2.38115949039784e-05
