"gene","PC_349_C_Sid_yr2","PC_350_La_Sid_yr2","PC_362_C_Sid_yr2","PC_363_La_Sid_yr2","PC_365_C_Sid_yr2","PC_366_La_Sid_yr2","PC_368_C_Sid_yr2","PC_371_C_Sid_yr2","PC_372_La_Sid_yr2","PC_374_C_Sid_yr2","PC_375_La_Sid_yr2","PO_331_C_Sid_yr2","PO_332_La_Sid_yr2","PO_334_C_Sid_yr2","PO_335_La_Sid_yr2","PO_337_C_Sid_yr2","PO_338_La_Sid_yr2","PO_340_C_Sid_yr2","PO_341_La_Sid_yr2","PO_343_C_Sid_yr2","PO_344_La_Sid_yr2","PO_347_La_Sid_yr2","R_003_C_Sid_yr2","R_004_La_Sid_yr2","R_009_C_Sid_yr2","R_010_La_Sid_yr2","R_012_C_Sid_yr2","R_013_La_Sid_yr2","R_015_C_Sid_yr2","R_018_C_Sid_yr2","R_019_La_Sid_yr2","R_021_C_Sid_yr2","R_022_La_Sid_yr2","R_025_La_Sid_yr2","R_027_C_Sid_yr2","R_030_C_Sid_yr2"
"Breviolum_Sid-radians_Avila-Medina_DN100095_c0_g2_i1_Symbiont",0,0,6.56659582761175,2.66313929892778,0.716530183273645,1.9174355445524,1.18664684157479,0,2.02093696605454,4.12455116769723,3.59307441771374,4.36009444066332,3.84943563149509,3.81197514203456,3.77472569708974,3.27416715412095,0,4.87160311793439,3.55036011354644,1.48202639245934,7.51743346285601,6.59058395483469,6.31175131297145,1.50102835798341,2.35761158887312,1.5425312149,3.22436579518977,0,2.15991475102469,0,1.62996273684903,8.14921883245421,0,0,2.68653486200531,0
"Breviolum_Sid-radians_Avila-Medina_DN100135_c0_g1_i1_Symbiont",3.83360328785103,15.3674320386651,3.752340472921,9.32098754624724,4.29918109964187,3.8348710891048,5.33991078708655,0,0,6.59928186831556,4.10637076310141,8.72018888132665,4.94927438335083,10.8005962357646,3.77472569708974,3.27416715412095,0,13.3969085743196,2.84028809083715,3.70506598114835,0,1.31811679096694,0,0,0,0,0,0,0.719971583674897,0,0.814981368424514,0,0,0,0.895511620668436,0
"Breviolum_Sid-radians_Avila-Medina_DN100512_c0_g2_i1_Symbiont",5.11147105046804,4.39069486819002,3.752340472921,3.99470894839167,6.44877164946281,3.8348710891048,2.96661710393697,0,0,2.47473070061834,2.56648172693838,2.18004722033166,3.29951625556722,1.90598757101728,2.51648379805982,3.92900058494514,0,2.4358015589672,2.84028809083715,3.70506598114835,2.50581115428534,6.92011315257642,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Breviolum_Sid-radians_Avila-Medina_DN100580_c0_g1_i2_Symbiont",6.38933881308505,17.5627794727601,11.257021418763,9.32098754624724,9.31489238255739,11.0252543811763,3.55994052472436,0,0,7.42419210185501,12.8324086346919,4.36009444066332,14.8478231500525,9.5299378550864,21.3901122835085,15.0611689089564,16.3757079905478,29.2296187076063,12.0712243860579,11.8562111396747,10.8585150019031,1.64764598870867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Breviolum_Sid-radians_Avila-Medina_DN100656_c0_g1_i1_Symbiont",3.83360328785103,21.9534743409501,10.3189363005328,17.3104054430306,5.73224146618916,9.10781883662389,7.71320447023612,0,0,10.7238330360128,13.8590013254673,4.36009444066332,11.5483068944853,6.35329190339093,6.29120949514956,13.751502047308,8.18785399527388,1.2179007794836,9.23093629522075,3.70506598114835,6.68216307809423,4.94293796612602,2.52470052518858,0,0,0,0,0,0.719971583674897,0,0,0,0,1.53342706369686,0,0
"Breviolum_Sid-radians_Avila-Medina_DN100786_c0_g1_i1_Symbiont",0,4.39069486819002,4.69042559115125,2.66313929892778,2.86612073309458,4.793588861381,4.74658736629915,0,0,4.12455116769723,8.72603787159051,0,1.09983875185574,3.81197514203456,6.29120949514956,5.89350087741771,4.09392699763694,3.65370233845079,3.55036011354644,1.48202639245934,0.835270384761779,6.26105475709296,0,0,0,0,1.07478859839659,0,0,0,0.814981368424514,0,0,0,0,0
"Breviolum_Sid-radians_Avila-Medina_DN101349_c0_g1_i1_Symbiont",5.11147105046804,6.58604230228502,5.6285107093815,2.66313929892778,1.43306036654729,4.793588861381,1.18664684157479,0,0,9.0740125689339,4.61966710848909,0,4.94927438335083,8.8946086647473,0,1.96450029247257,8.18785399527388,2.4358015589672,4.26043213625573,2.96405278491868,5.01162230857067,1.64764598870867,0,0,0,0,1.07478859839659,0,0,0,0,0,0,0,0,0
"Breviolum_Sid-radians_Avila-Medina_DN101519_c0_g1_i1_Symbiont",8.94507433831907,2.19534743409501,4.69042559115125,1.33156964946389,4.29918109964187,5.7523066336572,3.55994052472436,0,0,0,4.61966710848909,6.54014166099499,4.39935500742296,5.71796271305184,0,3.27416715412095,0,1.2179007794836,5.68057618167431,2.22303958868901,5.01162230857067,4.61340876838428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Breviolum_Sid-radians_Avila-Medina_DN101820_c0_g1_i1_Symbiont",1.27786776261701,6.58604230228502,2.81425535469075,1.33156964946389,2.86612073309458,6.23166551979529,2.96661710393697,0,0,7.42419210185501,7.18614883542747,0,2.74959687963935,3.81197514203456,5.03296759611965,7.85800116989028,4.09392699763694,0,2.84028809083715,7.4101319622967,4.17635192380889,2.30670438419214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Breviolum_Sid-radians_Avila-Medina_DN101927_c0_g1_i1_Symbiont",10.2229421009361,2.19534743409501,1.8761702364605,1.33156964946389,10.031422565831,5.2729477475191,2.37329368314958,0,0,3.29964093415778,7.69944518081515,4.36009444066332,3.84943563149509,2.54131676135637,5.03296759611965,11.1321683240112,0,0,1.42014404541858,5.92810556983736,2.50581115428534,8.89728833902683,1.26235026259429,0,0,0,0,0,0,0,0,0,0,0,0,0
